Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Additional Title(s)	Alternative Title(s)	ID numbers (STC)	Century	Century Status	Decade	Decade Status	Half Century	Half Century Status	ID numbers (marc, bibno)	Keyword Terms	Author(s)	Rough-draft genre (experimental, incomplete)	Notes	Publication Place(s)	Publisher(s)	Quarter Century	Quarter Century Status	BIBNO tag(s)	STC tag(s)	VID tag(s)	Title	Year	Year Status	URL	Match-begin corpus position	Match-end corpus position
1	A00448	down of the Second Commandment handsmooth to be granted them : A thing as much as any thing else to	<<< be stood >>>	on by us , till such time as they shall have proved their Church to be of that nature of	down_RP of_IO the_AT Second_MD Commandment_NN1 handsmooth_NN1 to_TO be_VBI granted_VVN them_PPHO2 :_YCOL A_AT1 thing_NN1 as_RG much_DA1 as_CSA any_DD thing_NN1 else_RR to_TO	<<< be_VBI stood_VVN >>>	on_RP by_II us_PPIO2 ,_YCOM till_CS such_DA time_NNT1 as_CSA they_PPHS2 shall_VM have_VHI proved_VVN their_APPGE Church_NN1 to_TO be_VBI of_IO that_DD1 nature_NN1 of_IO	_NO_TITLES_LISTED_	Dayes report of Gods glory.	STC (2nd ed.) 10583. | Madan, I, p. 102, no. 9.	1600_1699	CERTAIN	1610_1619	CERTAIN	1600_1649	CERTAIN	99849835	Bible. -- O.T. -- Psalms XIX -- Commentaries -- Early works to 1800. | Sermons, English -- 17th century.	Evans, Edward, b. 1573.	SERMONS	Running title reads: The dayes report of Gods glory. | Errata on pi2v begin: 'Pag. 31.'; I4r last line ends: 'then Res'; S4r catchword: 'newes'. | Some print show-through. | Reproduction of the original in the British Library.	Oxford	Printed by Ioseph Barne	1600_1624	CERTAIN	umi: 99849835	S: 10583	15007	Verba dierum, or, The dayes report of Gods glory. As it hath beene delivered some yeeres since, at foure sermons, or lectures vpon one text, in the famous University of Oxford; and since that time somewhat augmented; and is now commended vnto all times to be augmented and amended. By Edward Evans, priest and minister of the Lord our God.	1615	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=0	4909580	4909581
2	A00670	idle conceit , I find it propounded , but I think it is not relied upon . That which indeed	<<< is stood >>>	upon and the very maine issue of the whole question es that Bellarmine pitches upon , devised by some latter	idle_JJ conceit_NN1 ,_YCOM I_PPIS1 find_VV0 it_PPH1 propounded_VVD ,_YCOM but_CCB I_PPIS1 think_VV0 it_PPH1 is_VBZ not_XX relied_VVN upon_II ._YSTP That_DD1 which_DDQ indeed_RR	<<< is_VBZ stood_VVN >>>	upon_II and_CC the_AT very_JJ maine_NN1 issue_NN1 of_IO the_AT whole_JJ question_NN1 es_FW that_CST Bellarmine_NP1 pitches_NN2 upon_II ,_YCOM devised_VVN by_II some_DD latter_DA	_NO_TITLES_LISTED_	Treatise against the necessary dependance upon that one head, and the present reconciliation to the Church of Rome | Treatise against the necessary dependance upon that one head, and the present reconciliation to the Church of Rome.	STC (2nd ed.) 10805.	1600_1699	CERTAIN	1610_1619	CERTAIN	1600_1649	CERTAIN	99837868	Catholic Church -- Controversial literature -- Early works to 1800.	Fenton, Roger, 1565-1616. | Utie, Emmanuel, d. 1661,	SERMONS	Editor's dedication signed: Emmanuel Utie. | Reproduction of the original in the British Library.	London	Printed by Edward Griffin for Nathaniel Butte	1600_1624	CERTAIN	umi: 99837868	S: 10805 | C: S102068	2215	A treatise against the necessary dependance vpon that one head, and the present reconciliation to the Church of Rome. Together with certaine sermons preached in publike assemblies, videlicet 1. The want of discipline. 2. The possession of a king. 3. The tumults of the people. 4. The mocke of reputation. 5. The necessitie of the Passion. 6. The wisdome of the rich. By Roger Fenton Doctor of Diuinitie, late preacher of Graies Inne.	1617	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=1	8009585	8009586
3	A00728	in whom we read it being Bern . lib. 2. de Consid . Bernard ; and therefore not much to	<<< be stood >>>	on seeing the Ancient make all Bishops the Vicars of Christ , and do never appropriate it unto the Bishop	in_II whom_PNQO we_PPIS2 read_VV0 it_PPH1 being_VBG Bern_NP1 ._YSTP lib._NNU 2._MC de_NP1 Consid_NP1 ._YSTP Bernard_NP1 ;_YSCOL and_CC therefore_RR not_XX much_DA1 to_TO	<<< be_VBI stood_VVN >>>	on_II seeing_VVG the_AT Ancient_JJ make_VV0 all_DB Bishops_NN2 the_AT Vicars_NP1 of_IO Christ_NP1 ,_YCOM and_CC do_VD0 never_RR appropriate_VVI it_PPH1 unto_II the_AT Bishop_NN1	_NO_TITLES_LISTED_	Fifth booke of the Church.	STC (2nd ed.) 10858. | Madan, I, p. 139.	1600_1699	CERTAIN	1620_1629	CERTAIN	1600_1649	CERTAIN	99856528	Maihew, Edward, -- 1570-1625. -- Treatise of the groundes of the old and newe religion -- Controversial literature -- Early works to 1800. | Higgons, Theophilus, -- 1578?-1659. -- First motive of T.H. Maister of Arts, and lately minister, to suspect the integrity of his religion -- Controversial literature -- Early works to 1800. | Anderton, Lawrence. -- Apologie of the Romane Church -- Controversial literature -- Early works to 1800. | Catholic Church -- Controversial literature -- Early works to 1800. | First part of Protestants proofes, for Catholikes religion and recusancy -- Controversial literature -- Early works to 1800. | Church -- Early works to 1800.	Field, Richard, 1561-1616. | Field, Nathaniel, 1598-1666,	RELIGION_GENERAL	Editor's dedication signed: Nathaniel Field. | The appendix to book 3 includes a reply to &quot;The apologie of the Romane Church&quot; by Lawrence or James Anderton. | &quot;The fifth booke of the Church&quot; has separate dated title page; pagination and register are continuous. The appendix to this book contains an answer to &quot;The first motive of T.H. Maister of Arts, and lately minister, to suspect the integrity of his religion&quot; by Theophilus Higgons; &quot;A treatise of the groundes of the old and newe religion&quot; by Edward Maihew; and &quot;The first part of Protestants proofes, for Catholikes religion and recusancy&quot;, possibly by Richard Broughton. | The last leaf is blank. | Reproduction of the original in the British Library.	Oxford	Imprinted by VVilliam Turner, printer to the famous Vniuersit	1625_1649	CERTAIN	umi: 99856528	S: 10858	22096	Of the Church fiue bookes. By Richard Field Doctor of Diuinity and sometimes Deane of Glocester.	1628	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=2	9199549	9199550
4	A00728	be in you . Let your Father-hood therefore take heed , lest while you move questions about things unworthy to	<<< be stood >>>	upon , you scandalise them who with attentive ear listen to the words of your mouth , & wait for	be_VBI in_II you_PPY ._YSTP Let_VV0 your_APPGE Father-hood_NN1 therefore_RR take_VVI heed_NN1 ,_YCOM lest_CS while_CS you_PPY move_VV0 questions_NN2 about_II things_NN2 unworthy_JJ to_TO	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM you_PPY scandalise_VV0 them_PPHO2 who_PNQS with_IW attentive_JJ ear_NN1 listen_VV0 to_II the_AT words_NN2 of_IO your_APPGE mouth_NN1 ,_YCOM &_CC wait_VV0 for_IF	_NO_TITLES_LISTED_	Fifth booke of the Church.	STC (2nd ed.) 10858. | Madan, I, p. 139.	1600_1699	CERTAIN	1620_1629	CERTAIN	1600_1649	CERTAIN	99856528	Maihew, Edward, -- 1570-1625. -- Treatise of the groundes of the old and newe religion -- Controversial literature -- Early works to 1800. | Higgons, Theophilus, -- 1578?-1659. -- First motive of T.H. Maister of Arts, and lately minister, to suspect the integrity of his religion -- Controversial literature -- Early works to 1800. | Anderton, Lawrence. -- Apologie of the Romane Church -- Controversial literature -- Early works to 1800. | Catholic Church -- Controversial literature -- Early works to 1800. | First part of Protestants proofes, for Catholikes religion and recusancy -- Controversial literature -- Early works to 1800. | Church -- Early works to 1800.	Field, Richard, 1561-1616. | Field, Nathaniel, 1598-1666,	RELIGION_GENERAL	Editor's dedication signed: Nathaniel Field. | The appendix to book 3 includes a reply to &quot;The apologie of the Romane Church&quot; by Lawrence or James Anderton. | &quot;The fifth booke of the Church&quot; has separate dated title page; pagination and register are continuous. The appendix to this book contains an answer to &quot;The first motive of T.H. Maister of Arts, and lately minister, to suspect the integrity of his religion&quot; by Theophilus Higgons; &quot;A treatise of the groundes of the old and newe religion&quot; by Edward Maihew; and &quot;The first part of Protestants proofes, for Catholikes religion and recusancy&quot;, possibly by Richard Broughton. | The last leaf is blank. | Reproduction of the original in the British Library.	Oxford	Imprinted by VVilliam Turner, printer to the famous Vniuersit	1625_1649	CERTAIN	umi: 99856528	S: 10858	22096	Of the Church fiue bookes. By Richard Field Doctor of Diuinity and sometimes Deane of Glocester.	1628	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=3	9254488	9254489
5	A00730	been his counseller , &c . Many things more might be noted in this Chapter , if the Genealogies should	<<< be stood >>>	upon , wherein with praise many have travelled , but I choose rather with him that did so before me	been_VBN his_APPGE counseller_NN1 ,_YCOM &c_FO ._YSTP Many_DA2 things_NN2 more_RRR might_VM be_VBI noted_VVN in_II this_DD1 Chapter_NN1 ,_YCOM if_CS the_AT Genealogies_NN2 should_VM	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM wherein_RRQ with_IW praise_NN1 many_DA2 have_VH0 travelled_VVN ,_YCOM but_CCB I_PPIS1 choose_VV0 rather_RR with_IW him_PPHO1 that_CST did_VDD so_RR before_II me_PPIO1	_NO_TITLES_LISTED_	Certaine plaine, briefe, and comfortable notes upon everie chapter of Genesis | Comfortable notes vpon Genesis. | Comfortable notes upon Genesis. | Certaine plaine, briefe, and comfortable notes upon everie chapter of Genesis.	STC (2nd ed.) 1086.	1500_1599	CERTAIN	1590_1599	CERTAIN	1550_1599	CERTAIN	99836638	Bible. -- O.T. -- Genesis -- Commentaries.	Babington, Gervase, 1550-1610.	RELIGION_BIBLE	Running title reads: Comfortable notes vpon Genesis. | &quot;Short ap[parently]. pr[inted]. quires A, V, X, Aa; Jeffes the rest&quot;--STC. | Reproduction of the original in the British Library.	London	Printed [by A. Jeffes and P. Short] for Thomas Chard	1575_1599	CERTAIN	umi: 99836638	S: 1086	922	Certaine plaine, briefe, and comfortable notes vpon euerie chapter of Genesis. Gathered and laid downe for the good of them that are not able to vse better helpes, and yet carefull to read the worde, and right heartilie desirous to taste the sweete of it. By the Reuerend Father Geruase Babington, Bishop of Landaph.	1592	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=4	9533326	9533327
6	A00753	things were done which GOD in the former Chapters commanded to be done ; and therefore nede not further to	<<< be stood >>>	upon , the chief things in them having been before spoken of : As , in the twenty fifth Chapter	things_NN2 were_VBDR done_VDN which_DDQ GOD_NN1 in_II the_AT former_DA Chapters_NN2 commanded_VVD to_TO be_VBI done_VDN ;_YSCOL and_CC therefore_RR nede_VV0 not_XX further_RRR to_TO	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM the_AT chief_JJ things_NN2 in_II them_PPHO2 having_VHG been_VBN before_CS spoken_VVN of_IO :_YCOL As_CSA ,_YCOM in_II the_AT twenty_MC fifth_MD Chapter_NN1	_NO_TITLES_LISTED_	Comfortable notes upon the bookes of Exodus and Leviticus, as before upon Genesis | Comfortable notes vpon the booke of Leuiticus, as before vpon Genesis. | Comfortable notes upon the booke of Leviticus, as before upon Genesis. | Comfortable notes upon the bookes of Exodus and Leviticus, as before upon Genesis.	STC (2nd ed.) 1088.	1600_1699	CERTAIN	1600_1609	CERTAIN	1600_1649	CERTAIN	99836415	Bible. -- O.T. -- Exodus -- Commentaries. | Bible. -- O.T. -- Leviticus -- Commentaries.	Babington, Gervase, 1550-1610.	RELIGION_GENERAL	Includes indexes. | &quot;Comfortable notes vpon the booke of Leuiticus, as before vpon Genesis&quot; has separate dated title page, pagination and register. | Printers' names from STC; Purfoot printed part 2. | Reproduction of the original in the Henry E. Huntington Library and Art Gallery.	London	Printed [by H. Lownes and T. Purfoot] for Thomas Char	1600_1624	CERTAIN	umi: 99836415	S: 1088	686	Comfortable notes vpon the bookes of Exodus and Leuiticus, as before vpon Genesis. Gathered and laid downe still in this plaine manner, for the good of them that cannot vse better helpes, and yet are carefull to read the Scriptures, and verie desirous to finde the comfort in them. By the Reuerend Father in God Geruase Babington ... With a table of the principall matters contained in this booke.	1604	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=5	10053258	10053259
7	A00753	world . Many things more doth both this Chapter and others contain , if with exact curiosity , they should	<<< be stood >>>	upon , and every particular examined ; but my purpose being only to give a taste of the use of	world_NN1 ._YSTP Many_DA2 things_NN2 more_DAR doth_VDZ both_RR this_DD1 Chapter_NN1 and_CC others_NN2 contain_VV0 ,_YCOM if_CS with_IW exact_JJ curiosity_NN1 ,_YCOM they_PPHS2 should_VM	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM and_CC every_AT1 particular_JJ examined_JJ ;_YSCOL but_CCB my_APPGE purpose_NN1 being_VBG only_RR to_TO give_VVI a_AT1 taste_NN1 of_IO the_AT use_NN1 of_IO	_NO_TITLES_LISTED_	Comfortable notes upon the bookes of Exodus and Leviticus, as before upon Genesis | Comfortable notes vpon the booke of Leuiticus, as before vpon Genesis. | Comfortable notes upon the booke of Leviticus, as before upon Genesis. | Comfortable notes upon the bookes of Exodus and Leviticus, as before upon Genesis.	STC (2nd ed.) 1088.	1600_1699	CERTAIN	1600_1609	CERTAIN	1600_1649	CERTAIN	99836415	Bible. -- O.T. -- Exodus -- Commentaries. | Bible. -- O.T. -- Leviticus -- Commentaries.	Babington, Gervase, 1550-1610.	RELIGION_GENERAL	Includes indexes. | &quot;Comfortable notes vpon the booke of Leuiticus, as before vpon Genesis&quot; has separate dated title page, pagination and register. | Printers' names from STC; Purfoot printed part 2. | Reproduction of the original in the Henry E. Huntington Library and Art Gallery.	London	Printed [by H. Lownes and T. Purfoot] for Thomas Char	1600_1624	CERTAIN	umi: 99836415	S: 1088	686	Comfortable notes vpon the bookes of Exodus and Leuiticus, as before vpon Genesis. Gathered and laid downe still in this plaine manner, for the good of them that cannot vse better helpes, and yet are carefull to read the Scriptures, and verie desirous to finde the comfort in them. By the Reuerend Father in God Geruase Babington ... With a table of the principall matters contained in this booke.	1604	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=6	10080851	10080852
8	A00778	. But it is not this that any man doubts of , and therefore as I said , not to	<<< be stood >>>	upon . It is the other that is a question , to wit , whether God only is to be	._YSTP But_CCB it_PPH1 is_VBZ not_XX this_DD1 that_CST any_DD man_NN1 doubts_NN2 of_IO ,_YCOM and_CC therefore_RR as_CSA I_PPIS1 said_VVD ,_YCOM not_XX to_TO	<<< be_VBI stood_VVN >>>	upon_II ._YSTP It_PPH1 is_VBZ the_AT other_JJ that_CST is_VBZ a_AT1 question_NN1 ,_YCOM to_II wit_NN1 ,_YCOM whether_CSW God_NP1 only_RR is_VBZ to_TO be_VBI	_NO_TITLES_LISTED_	Profitable exposition vpon the Lords prayer. | Profitable exposition upon the Lords prayer.	STC (2nd ed.) 1090.	1500_1599	CERTAIN	1580_1589	CERTAIN	1550_1599	CERTAIN	99837313	Lord's prayer -- Commentaries.	Babington, Gervase, 1550-1610.	RELIGION_PRAYER_AND_PSALMS	With an index and a final errata leaf. | Running title reads: A profitable exposition vpon the Lords prayer. | Reproduction of the original in the Henry E. Huntington Library and Art Gallery.	London	Printed by Thomas Orwin for Thomas Chard	1575_1599	CERTAIN	umi: 99837313	S: 1090	1629	A profitable exposition of the Lords prayer, by way of questions and answers for most playnnes together with many fruitfull applications to the life and soule, aswell for the terror of the dull and dead, as for the sweet comfort of the tender harted. By Geruase Babington. With a table of the principall matters conteyned in this booke.	1588	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=7	10440156	10440157
9	A00778	Which being more particularly laid down by Christ himself in this prayer following , need not now so much to	<<< be stood >>>	upon . Something also of the place of prayer , if you will . As prayer it self either is	Which_DDQ being_VBG more_RGR particularly_RR laid_VVN down_RP by_II Christ_NP1 himself_PPX1 in_II this_DD1 prayer_NN1 following_VVG ,_YCOM need_VV0 not_XX now_RT so_RG much_DA1 to_TO	<<< be_VBI stood_VVN >>>	upon_II ._YSTP Something_PN1 also_RR of_IO the_AT place_NN1 of_IO prayer_NN1 ,_YCOM if_CS you_PPY will_VM ._YSTP As_CSA prayer_NN1 it_PPH1 self_NN1 either_RR is_VBZ	_NO_TITLES_LISTED_	Profitable exposition vpon the Lords prayer. | Profitable exposition upon the Lords prayer.	STC (2nd ed.) 1090.	1500_1599	CERTAIN	1580_1589	CERTAIN	1550_1599	CERTAIN	99837313	Lord's prayer -- Commentaries.	Babington, Gervase, 1550-1610.	RELIGION_PRAYER_AND_PSALMS	With an index and a final errata leaf. | Running title reads: A profitable exposition vpon the Lords prayer. | Reproduction of the original in the Henry E. Huntington Library and Art Gallery.	London	Printed by Thomas Orwin for Thomas Chard	1575_1599	CERTAIN	umi: 99837313	S: 1090	1629	A profitable exposition of the Lords prayer, by way of questions and answers for most playnnes together with many fruitfull applications to the life and soule, aswell for the terror of the dull and dead, as for the sweet comfort of the tender harted. By Geruase Babington. With a table of the principall matters conteyned in this booke.	1588	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=8	10445205	10445206
10	A00919	body and blood of Christ , Catholic Priests . Tertullian de resurrectione carnis , floruit 200. that the soul might	<<< be sat >>>	in God . 105 OVt of this , thus you frame an argument ( as sometimes & old Roman friend	body_NN1 and_CC blood_NN1 of_IO Christ_NP1 ,_YCOM Catholic_JJ Priests_NN2 ._YSTP Tertullian_NP1 de_NP1 resurrectione_NN1 carnis_NN1 ,_YCOM floruit_NN1 200._MC that_CST the_AT soul_NN1 might_VM	<<< be_VBI sat_VVN >>>	in_II God_NP1 ._YSTP 105_MC OVt_NN1 of_IO this_DD1 ,_YCOM thus_RR you_PPY frame_VV0 an_AT1 argument_NN1 (_YBL as_CSA sometimes_RT &_CC old_JJ Roman_JJ friend_NN1	_NO_TITLES_LISTED_	A Catholike confutation of M. John Riders clayme of antiquitie. | Catholike confutation of M. John Riders clayme of antiquitie. | Replie to M. Riders Rescript.	STC (2nd ed.) 11025.	1600_1699	CERTAIN	1600_1609	CERTAIN	1600_1649	CERTAIN	99838062	Rider, John, -- 1562-1632. -- Friendly caveat to Irelands Catholicks. | Rider, John, -- 1562-1632. -- Rescript. | Protestantism -- Controversial literature.	Fitzsimon, Henry, b. 1566. | Rider, John, 1562-1632. | Rider, John, 1562-1632.	ARTICLES	Actual place of publication and printers' names from STC. | &quot;A replie to M. Riders Rescript&quot; has separate dated title page, pagination, and register. | A reprinting of and answer to &quot;A friendly caveat to Irelands Catholicks&quot; by John Rider. Part 2 prints and replies to Rider's &quot;Rescript&quot;, not known to have survived elsewhere. | Part 1 includes index. | Reproduction of the original in the British Library.	Roan i.e. Douai	[Pt. 1 by P. Auroi, pt. 2 by C. Boscard] with licence of superiour	1600_1624	CERTAIN	umi: 99838062	S: 11025	2419	A Catholike confutation of M. Iohn Riders clayme of antiquitie and a caulming comfort against his caueat. In which is demonstrated, by assurances, euen of protestants, that al antiquitie, for al pointes of religion in controuersie, is repugnant to protestancie. Secondly, that protestancie is repugnant particularlie to al articles of beleefe. Thirdly, that puritan plots are pernitious to religion, and state. And lastly, a replye to M. Riders Rescript; with a discouerie of puritan partialitie in his behalfe. By Henry Fitzimon of Dublin in Irland, of the Societie of Iesus, priest.	1608	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=9	11815646	11815647
