Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S2DD	water anyway I wonder is the instruction book in the in the bag --ANONnameF ? I 've no idea I	'm not sitting	reading it though no well I 'm just asking have a wee look --ANONnameM does n't look like it is	water_NN1 anyway_RR I_PPIS1 wonder_VV0 is_VBZ the_AT instruction_NN1 book_NN1 in_II the_AT in_II the_AT bag_NN1 --ANONnameF_NP1 ?_YQUE I_PPIS1 've_VH0 no_AT idea_NN1 I_PPIS1	'm_VBM not_XX sitting_VVG	reading_VVG it_PPH1 though_RR no_UH well_RR I_PPIS1 'm_VBM just_RR asking_VVG have_VH0 a_AT1 wee_NN1 look_VV0 --ANONnameM_NP1 does_VDZ n't_XX look_VVI like_II it_PPH1 is_VBZ		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0687 S0688 S0689 S0690	4	2016-06-21	1:04:04	A restaurant, Istria, Croatia	2016 Q2	2016	Close family, partners, very close friends	Food, Drink, Weather, Cities and towns in Istria, Accommodation, Food, Animals, Food technology at school, Photography, Swimming pool , Ebola, Immigration officers , Air travel , Marijuana, Countries that we would like to visit , Friends , Tics, Seasons, New inventions, Steve Job	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ok&batch=0	163084	163086
2	S3JF	do n't have to do it every other word and so I 'm a bit it 's for pleasure I	'm not sitting	listening to it it 's terrible sometimes you wo n't get a swear word in the whole episode but whenever	do_VD0 n't_XX have_VHI to_TO do_VDI it_PPH1 every_AT1 other_JJ word_NN1 and_CC so_RR I_PPIS1 'm_VBM a_RR21 bit_RR22 it_PPH1 's_VBZ for_IF pleasure_NN1 I_PPIS1	'm_VBM not_XX sitting_VVG	listening_VVG to_II it_PPH1 it_PPH1 's_VBZ terrible_JJ sometimes_RT you_PPY wo_VM n't_XX get_VVI a_AT1 swear_NN1 word_NN1 in_II the_AT whole_JJ episode_NN1 but_CCB whenever_RRQV	Dinner with Dad & Ann	Discussing, explaining, inquiring, complaining, advising, inviting, anecdote telling, making arrangements, telling jokes	Revised	Texts within Sample release	S0190 S0192 S0227	3	2014-08-20	1:58:45	In Dad andANON's kitchen, Rushden	2014 Q3	2014	Close family, partners, very close friends	Family, health, phone calls, cooking, flights, weather, hospital, freelancing, taxes, recording, phonology, dialect, friends, extended family, grandchildren, moving house, laptops, children, board game, forms, memory, South Korea, renting an apartment, navigating, family and friends visiting, traffic, university, losing weight, TV, accent, work, Aaron, telepathy & sign language, utilities, winter, plants, whisky	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ok&batch=1	728096	728098
3	S4PF	I was like oh I was just giving it a stir to get it off the bottom I don- I	'm not standing	here stirring it the whole time she was like yeah but I saw you stir it five minutes ago I	I_PPIS1 was_VBDZ like_RR oh_UH I_PPIS1 was_VBDZ just_RR giving_VVG it_PPH1 a_AT1 stir_VV0 to_TO get_VVI it_PPH1 off_II the_AT bottom_NN1 I_PPIS1 don-_FU I_PPIS1	'm_VBM not_XX standing_VVG	here_RL stirring_VVG it_PPH1 the_AT whole_JJ time_NNT1 she_PPHS1 was_VBDZ like_RR yeah_UH but_CCB I_PPIS1 saw_VVD you_PPY stir_VVI it_PPH1 five_MC minutes_NNT2 ago_RA I_PPIS1	Friends discussing school	Discussing, explaining, inquiring, complaining, advising, announcing, anecdote telling	Revised	Texts within Sample release	S0324 S0325	2	2015-05-13	0:31:49	ANON's home, Linton	2015 Q2	2015	Close family, partners, very close friends	Music, school, Jobs, Maths and English, Spanish (language futures) Past years, Food tech, homework	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ok&batch=2	1090456	1090458
4	S66F	yes to get yourself in do n't you ? because I ca n't reach the pedals with comfort if I	'm not sat	right no that 's right you 've got long legs my knees are hitting the steering wheel ? yes yeah	yes_UH to_TO get_VVI yourself_PPX1 in_RP do_VD0 n't_XX you_PPY ?_YQUE because_CS I_PPIS1 ca_VM n't_XX reach_VVI the_AT pedals_NN2 with_IW comfort_NN1 if_CS I_PPIS1	'm_VBM not_XX sat_VVN	right_RR no_UH that_DD1 's_VBZ right_RR you_PPY 've_VH0 got_VVN long_JJ legs_NN2 my_APPGE knees_NN2 are_VBR hitting_VVG the_AT steering_NN1 wheel_NN1 ?_YQUE yes_UH yeah_UH	Cars	Discussing, explaining, inquiring	Revised	Texts within Sample release	S0251 S0252	2	2014-09-04	0:20:04	Living room in Malton	2014 Q3	2014	Close family, partners, very close friends	Cars and car insurance	T18	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ok&batch=3	1713806	1713808
5	S6EX	because if that becomes like a somebody 's habit for you know they 're actually still communicating with people they	're not sitting	in a room can you count that as communication ? mm I suppose not no but I mean it 's	because_CS if_CS that_DD1 becomes_VVZ like_II a_AT1 somebody_PN1 's_GE habit_NN1 for_IF you_PPY know_VV0 they_PPHS2 're_VBR actually_RR still_RR communicating_VVG with_IW people_NN they_PPHS2	're_VBR not_XX sitting_VVG	in_II a_AT1 room_NN1 can_VM you_PPY count_VVI that_CST as_II communication_NN1 ?_YQUE mm_UH I_PPIS1 suppose_VV0 not_XX no_UH but_CCB I_PPIS1 mean_VV0 it_PPH1 's_VBZ	Family having a cup of tea.	Discussing, explaining, anecdote telling	Original	Texts within Sample release	S0012 S0013 S0024 S0144	4	2012-03-27	0:39:40	ANON's home, Norfolk	2012 Q1	2012	Close family, partners, very close friends	Facebook, OCD, chicken pox, religion	T20	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ok&batch=4	1828640	1828642
6	S7SU	have to use everything to pull it cos you stood up you faced up you faced up oh so you	're not sat	on anything okay and I think he said that apparently they were told when he was training for the marines	have_VH0 to_TO use_VVI everything_PN1 to_TO pull_VVI it_PPH1 cos_CS you_PPY stood_VVD up_RP you_PPY faced_VVD up_RP you_PPY faced_VVD up_RP oh_UH so_RR you_PPY	're_VBR not_XX sat_VVN	on_II anything_PN1 okay_RR and_CC I_PPIS1 think_VV0 he_PPHS1 said_VVD that_CST apparently_RR they_PPHS2 were_VBDR told_VVN when_CS he_PPHS1 was_VBDZ training_VVG for_IF the_AT marines_NN2	Friends eating dinner, chatting.	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0041 S0046 S0084	3	2012-03-04	2:04:38	ANON’s home, Cambridge	2012 Q1	2012	Friends, wider family circle	Food, relationships	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ok&batch=5	2521224	2521226
7	S8CV	to my email and they 've not come through yet and I 've done it like four times so they	're not sitting	comfy on my face these --UNCLEARWORD leave them off till we get it 's just uncomfortable squinting did you see	to_II my_APPGE email_NN1 and_CC they_PPHS2 've_VH0 not_XX come_VVN through_II yet_RR and_CC I_PPIS1 've_VH0 done_VDN it_PPH1 like_II four_MC times_NNT2 so_RR they_PPHS2	're_VBR not_XX sitting_VVG	comfy_JJ on_II my_APPGE face_NN1 these_DD2 --UNCLEARWORD_FU leave_VV0 them_PPHO2 off_RP till_CS we_PPIS2 get_VV0 it_PPH1 's_VBZ just_RR uncomfortable_JJ squinting_VVG did_VDD you_PPY see_VVI	Family conversation during a car journey	Discussing, explaining	Revised	Texts not in Sample release	S0687 S0688 S0689 S0690	4	2016-06-20	0:50:54	[unknown]	2016 Q2	2016	Close family, partners, very close friends	Birds and aircraft, Hilltop villages, Weather, Law conversion courses, Scales-Kilograms, grams, kilometers and miles, The EU referendum, Religion, Cars, Shakespeare, Drugs, Police, Nudists, The correct way to travel, Supermarkets, Sports, Bear Grylls, Terry Wogan, Car parking	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ok&batch=6	2748215	2748217
8	S8Q6	finish up your dinners no just think of those men on the stations they well where is she ? she	's not sitting	there she 's not in either of the seats what do I do ? yes they 'd probably get a	finish_VVI up_RP your_APPGE dinners_NN2 no_UH just_RR think_VV0 of_IO those_DD2 men_NN2 on_II the_AT stations_NN2 they_PPHS2 well_RR where_RRQ is_VBZ she_PPHS1 ?_YQUE she_PPHS1	's_VBZ not_XX sitting_VVG	there_RL she_PPHS1 's_VBZ not_XX in_II either_DD1 of_IO the_AT seats_NN2 what_DDQ do_VD0 I_PPIS1 do_VDI ?_YQUE yes_UH they_PPHS2 'd_VM probably_RR get_VVI a_AT1	Taking it easy after lunch	Discussing, explaining, making arrangements	Revised	Texts not in Sample release	S0679 S0680	2	2015-11-28	0:14:06	ANON’s living room, Leeds 	2015 Q4	2015	Close family, partners, very close friends	What to have for supper and other meals, Using passenger assistance on the railway, catching train at Leeds station, Using text messaging, Experiences of receiving text notifications	T04	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ok&batch=7	2906491	2906493
9	SDZC	ideas like when you 're on holiday when you 're on a beach when you 're mm hm when you	're not sat	in an office like you normally are all day every day yeah that 's when bit of inspiration yeah good	ideas_NN2 like_RR when_CS you_PPY 're_VBR on_II holiday_NN1 when_CS you_PPY 're_VBR on_II a_AT1 beach_NN1 when_CS you_PPY 're_VBR mm_UH hm_UH when_CS you_PPY	're_VBR not_XX sat_VVN	in_II an_AT1 office_NN1 like_II you_PPY normally_RR are_VBR all_DB day_NNT1 every_AT1 day_NNT1 yeah_UH that_DD1 's_VBZ when_RRQ bit_NN1 of_IO inspiration_NN1 yeah_UH good_JJ	Friends talking while eating an evening meal.	Discussing, explaining, inquiring, announcing, anecdote telling	Revised	Texts not in Sample release	S0617 S0622 S0641	3	2016-03-04	1:00:11	ANON’s home, Lichfield	2016 Q1	2016	Close family, partners, very close friends	Restaurants and food, work and future work plans, family and Mother’s Day, relationships.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ok&batch=8	4737814	4737816
10	SHTW	do n't understand that one forty I 'm sorry I it 's really quick in on the bus so you	're not sat	on the bus so long well --UNCLEARWORD for us it 's all free but you say quick mm but you	do_VD0 n't_XX understand_VVI that_DD1 one_MC1 forty_MC I_PPIS1 'm_VBM sorry_JJ I_PPIS1 it_PPH1 's_VBZ really_RR quick_JJ in_II on_II the_AT bus_NN1 so_CS you_PPY	're_VBR not_XX sat_VVN	on_II the_AT bus_NN1 so_RG long_JJ well_RR --UNCLEARWORD_FU for_IF us_PPIO2 it_PPH1 's_VBZ all_DB free_JJ but_CCB you_PPY say_VV0 quick_JJ mm_UH but_CCB you_PPY	Chatting	Discussing, explaining 	Revised	Texts within Sample release	S0012 S0013 S0278	3	2014-12-03	1:47:07	Speaker's home	2014 Q4	2014	Close family, partners, very close friends	Rat puppet, handbell ringing, getting eyes tested, travelling on buses	T04	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ok&batch=9	5936449	5936451
