Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S32W	it 's about her keeping up the Spanish cos I 'm happy to like I say if it it 'd	be sitting	in and just just learning bits and bobs and just trying to have a a grounding of it mhm whereas	it_PPH1 's_VBZ about_II her_PPHO1 keeping_VVG up_RP the_AT Spanish_JJ cos_CS I_PPIS1 'm_VBM happy_JJ to_II like_CS I_PPIS1 say_VV0 if_CS it_PPH1 it_PPH1 'd_VM	be_VBI sitting_VVG	in_RP and_CC just_RR just_RR learning_VVG bits_NN2 and_CC bobs_NN2 and_CC just_RR trying_VVG to_TO have_VHI a_AT1 a_AT1 grounding_NN1 of_IO it_PPH1 mhm_UH whereas_CS	Acquaintances chatting in a café.	Discussing, explaining, inquiring, advising	Original	Texts within Sample release	S0007 S0018	2	2012-03-27	1:00:29	A leisure centre café, Birmingham	2012 Q1	2012	Acquaintances	Studies, work, sports, relationships, driving	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638j&batch=0	441310	441311
2	S32W	do what I do so we just kind of both went like that and just got into VIP and we	were sitting	down and he it he being er he was n't obviously afraid to to go and say hello to er	do_VD0 what_DDQ I_PPIS1 do_VD0 so_RR we_PPIS2 just_RR kind_NN1 of_IO both_DB2 went_VVD like_II that_DD1 and_CC just_RR got_VVN into_II VIP_NN1 and_CC we_PPIS2	were_VBDR sitting_VVG	down_RP and_CC he_PPHS1 it_PPH1 he_PPHS1 being_NN1 er_UH he_PPHS1 was_VBDZ n't_XX obviously_RR afraid_JJ to_TO to_TO go_VVI and_CC say_VVI hello_UH to_II er_UH	Acquaintances chatting in a café.	Discussing, explaining, inquiring, advising	Original	Texts within Sample release	S0007 S0018	2	2012-03-27	1:00:29	A leisure centre café, Birmingham	2012 Q1	2012	Acquaintances	Studies, work, sports, relationships, driving	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638j&batch=1	443292	443293
3	S376	or whatever there 's there 's an odd feeling about it like it 's just unlimited like I could just	be sat	here all day whereas yeah I do n't feel like that with TV yeah it 's too much it 's	or_CC whatever_DDQV there_EX 's_VBZ there_EX 's_VBZ an_AT1 odd_JJ feeling_NN1 about_II it_PPH1 like_II it_PPH1 's_VBZ just_RR unlimited_JJ like_RR I_PPIS1 could_VM just_RR	be_VBI sat_VVN	here_RL all_DB day_NNT1 whereas_CS yeah_UH I_PPIS1 do_VD0 n't_XX feel_VVI like_II that_DD1 with_IW TV_NN1 yeah_UH it_PPH1 's_VBZ too_RG much_DA1 it_PPH1 's_VBZ	Friends talking about their current and future situations	Discussing, explaining, complaining, anecdote telling, making arrangements, telling jokes	Revised	Texts within Sample release	S0187 S0188 S0200 S0387	4	2015-03-12	0:33:46	Bristol, home of all speakers	2015 Q1	2015	Close family, partners, very close friends	Experiences, Celebrities, Work, Other family members, Living arrangements, Internet, Other people, university.	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638j&batch=2	539000	539001
4	S376	yeah aye yeah I do it if I 'm staying there for a while yeah I did it earlier I	was sat	in that room in --ANONplace just with no shoes on I ca n't my feet stink and my shoes stink	yeah_UH aye_UH yeah_UH I_PPIS1 do_VD0 it_PPH1 if_CS I_PPIS1 'm_VBM staying_VVG there_RL for_IF a_AT1 while_NNT1 yeah_UH I_PPIS1 did_VDD it_PPH1 earlier_RRR I_PPIS1	was_VBDZ sat_VVN	in_II that_DD1 room_NN1 in_II --ANONplace_NP1 just_RR with_IW no_AT shoes_NN2 on_II I_PPIS1 ca_VM n't_XX my_APPGE feet_NN2 stink_VVI and_CC my_APPGE shoes_NN2 stink_VV0	Friends talking about their current and future situations	Discussing, explaining, complaining, anecdote telling, making arrangements, telling jokes	Revised	Texts within Sample release	S0187 S0188 S0200 S0387	4	2015-03-12	0:33:46	Bristol, home of all speakers	2015 Q1	2015	Close family, partners, very close friends	Experiences, Celebrities, Work, Other family members, Living arrangements, Internet, Other people, university.	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638j&batch=3	541131	541132
5	S37E	even take the pier across to the canal on the other side mm people are taking the --UNCLEARWORD so people	are sitting	over there with the picnic area yeah what 's the one it 's on the way if you go the	even_RR take_VV0 the_AT pier_NN1 across_II to_II the_AT canal_NN1 on_II the_AT other_JJ side_NN1 mm_UH people_NN are_VBR taking_VVG the_AT --UNCLEARWORD_FU so_RR people_NN	are_VBR sitting_VVG	over_RL21 there_RL22 with_IW the_AT picnic_NN1 area_NN1 yeah_UH what_DDQ 's_VBZ the_AT one_PN1 it_PPH1 's_VBZ on_II the_AT way_NN1 if_CS you_PPY go_VV0 the_AT	Family catch-up on the way to the train station 	Discussing, explaining, inquiring, complaining, advising, inviting, announcing,  anecdote telling, making arrangements	Revised	Texts within Sample release	S0439 S0440 S0481	3	2015-09-12	0:20:53	car	2015 Q3	2015	Close family, partners, very close friends	Local area, organizing plans to London, history, housing, money, pubs, holidays. 	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638j&batch=4	547388	547389
6	S3M4	let 's see if he gets back to you so I I bet he will here he is because he	is sat	at home with his leg in plaster oh of course so why would n't he ? you should facetime him	let_VM21 's_VM22 see_VVI if_CSW he_PPHS1 gets_VVZ back_RP to_II you_PPY so_RR I_PPIS1 I_PPIS1 bet_VV0 he_PPHS1 will_VM here_RL he_PPHS1 is_VBZ because_CS he_PPHS1	is_VBZ sat_VVN	at_II home_NN1 with_IW his_APPGE leg_NN1 in_II plaster_NN1 oh_UH of_RR21 course_RR22 so_RR why_RRQ would_VM n't_XX he_PPHS1 ?_YQUE you_PPY should_VM facetime_NNT1 him_PPHO1	Sisters having lunch on a skiing holiday	Discussing, explaining, requesting, making arrangements	Revised	Texts not in Sample release	S0517 S0525	2	2016-02-17	0:36:00	Hotel in Bansko, Bulgaria	2016 Q1	2016	Close family, partners, very close friends	Skiing holiday, friends and family	T19	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638j&batch=5	777975	777976
7	S3M4	yeah mm interesting but she went in the other day and one of the members of staff at the --ANONplace	was sat	on the floor cross legged in the store sorting through the trays you know they have all the trays with	yeah_UH mm_UH interesting_JJ but_CCB she_PPHS1 went_VVD in_II the_AT other_JJ day_NNT1 and_CC one_MC1 of_IO the_AT members_NN2 of_IO staff_NN at_II the_AT --ANONplace_NP1	was_VBDZ sat_VVN	on_II the_AT floor_NN1 cross_NN1 legged_JJ in_II the_AT store_NN1 sorting_VVG through_II the_AT trays_NN2 you_PPY know_VV0 they_PPHS2 have_VH0 all_DB the_AT trays_NN2 with_IW	Sisters having lunch on a skiing holiday	Discussing, explaining, requesting, making arrangements	Revised	Texts not in Sample release	S0517 S0525	2	2016-02-17	0:36:00	Hotel in Bansko, Bulgaria	2016 Q1	2016	Close family, partners, very close friends	Skiing holiday, friends and family	T19	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638j&batch=6	780784	780785
8	S3MW	the following day and and we rocked up to our seats yeah and that the girl --ANONnameF --ANONnameM and I	were sitting	with was so cross that in the middle section of the plane where you 've got the four seats yeah	the_AT following_JJ day_NNT1 and_CC and_CC we_PPIS2 rocked_VVD up_II21 to_II22 our_APPGE seats_NN2 yeah_UH and_CC that_CST the_AT girl_NN1 --ANONnameF_NP1 --ANONnameM_NP1 and_CC I_PPIS1	were_VBDR sitting_VVG	with_IW was_VBDZ so_RG cross_JJ that_CST in_II the_AT middle_JJ section_NN1 of_IO the_AT plane_NN1 where_RRQ you_PPY 've_VH0 got_VVN the_AT four_MC seats_NN2 yeah_UH	Mother and daughter talking about their week. 	Discussing, inquiring, requesting, making arrangements	Revised	Texts not in Sample release	S0525 S0615	2	2016-01-31	0:45:01	ANON’s home, Lichfield	2016 Q1	2016	Close family, partners, very close friends	Baby classes, how the last couple of days have gone, husband, family	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638j&batch=7	803006	803007
9	S457	you can hear --UNCLEARWORD --ANONnameF goes the whole restaurant can hear the whole of --ANONplace can hear shut up I	was sat	opposite --ANONnameM and it was quite funny cos --ANONnameM was sat there discussing erm the fact that he had n't	you_PPY can_VM hear_VVI --UNCLEARWORD_FU --ANONnameF_NP1 goes_VVZ the_AT whole_JJ restaurant_NN1 can_VM hear_VVI the_AT whole_NN1 of_IO --ANONplace_NP1 can_VM hear_VVI shut_VV0 up_RP I_PPIS1	was_VBDZ sat_VVN	opposite_JJ --ANONnameM_NP1 and_CC it_PPH1 was_VBDZ quite_RG funny_JJ cos_CS --ANONnameM_NP1 was_VBDZ sat_VVN there_RL discussing_VVG erm_UH the_AT fact_NN1 that_CST he_PPHS1 had_VHD n't_XX	Family chatting about their day at evening meal	Discussing, explaining, Inquiring, complaining, requestion, anecdote telling	Revised	Texts not in Sample release	S0525 S0614 S0617	3	2016-02-26	1:00:59	ANON’s home, Lichfield	2016 Q1	2016	Close family, partners, very close friends	Family, work, events of the day	T04	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638j&batch=8	923663	923664
10	S457	the whole of --ANONplace can hear shut up I was sat opposite --ANONnameM and it was quite funny cos --ANONnameM	was sat	there discussing erm the fact that he had n't done his homework for Monday ? yes yeah erm and he	the_AT whole_NN1 of_IO --ANONplace_NP1 can_VM hear_VVI shut_VV0 up_RP I_PPIS1 was_VBDZ sat_VVN opposite_JJ --ANONnameM_NP1 and_CC it_PPH1 was_VBDZ quite_RG funny_JJ cos_CS --ANONnameM_NP1	was_VBDZ sat_VVN	there_RL discussing_VVG erm_UH the_AT fact_NN1 that_CST he_PPHS1 had_VHD n't_XX done_VDN his_APPGE homework_NN1 for_IF Monday_NPD1 ?_YQUE yes_UH yeah_UH erm_UH and_CC he_PPHS1	Family chatting about their day at evening meal	Discussing, explaining, Inquiring, complaining, requestion, anecdote telling	Revised	Texts not in Sample release	S0525 S0614 S0617	3	2016-02-26	1:00:59	ANON’s home, Lichfield	2016 Q1	2016	Close family, partners, very close friends	Family, work, events of the day	T04	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638j&batch=9	923674	923675
