Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S2EF	an hour early and we could n't get into the sports centre cos it was n't open yet so we	're stood	outside this like massive group of us there must have been like well over a team of us stood all	an_AT1 hour_NNT1 early_RR and_CC we_PPIS2 could_VM n't_XX get_VVI into_II the_AT sports_NN2 centre_NN1 cos_CS it_PPH1 was_VBDZ n't_XX open_JJ yet_RR so_RR we_PPIS2	're_VBR stood_VVN	outside_II this_DD1 like_RR massive_JJ group_NN1 of_IO us_PPIO2 there_EX must_VM have_VHI been_VBN like_II well_JJ over_II a_AT1 team_NN1 of_IO us_PPIO2 stood_VVD all_DB	Talking while eating pizza with housemates	Discussing, explaining, inquiring, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0567 S0611 S0620 S0623	4	2016-01-10	1:25:40	All speakers’ rented uni home, Lancaster	2016 Q1	2016	Close family, partners, very close friends	Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories,  secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=0	185624	185625
2	S4BA	behind the che- the behind the chairs on the beach ? u- with a towel wrapped round him and he	was sat	right next to me said shush they 're coming do n't tell anyone they were playing football and everything though	behind_II the_AT che-_FU the_AT behind_II the_AT chairs_NN2 on_II the_AT beach_NN1 ?_YQUE u-_FU with_IW a_AT1 towel_NN1 wrapped_VVN round_II him_PPHO1 and_CC he_PPHS1	was_VBDZ sat_VVN	right_RR next_II21 to_II22 me_PPIO1 said_VVD shush_UH they_PPHS2 're_VBR coming_VVG do_VD0 n't_XX tell_VVI anyone_PN1 they_PPHS2 were_VBDR playing_VVG football_NN1 and_CC everything_PN1 though_RR	Family talking over a meal on Boxing Day	Discussing, explaining, inquiring, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0547 S0548 S0549 S0550 S0551 S0552 S0553	7	2015-12-26	0:29:29	The home of ANON, ANON, ANON, ANON and ANON, High Lane, Stockport.	2015 Q4	2015	Close family, partners, very close friends	Pulling crackers, cracker jokes, food, working in a chip shop, where the plates and dishes have come from, what our extended family did Christmas day, the relations between our extended family and their nephew ANON, where ANON will live, sayings, ANON's next year at university, ANON's house at university, a game from the night before, taste and flavor, butter, childhood food, grandad’s travels, cameras, cars.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=1	991203	991204
3	S4JC	mm oh is that the one from er erm Sainsbury 's ? I think it 's the one --ANONnameM has	been sitting	on and he 's broken it now no you can bugger right off cos I 've never sat there no	mm_UH oh_UH is_VBZ that_DD1 the_AT one_PN1 from_II er_UH erm_UH Sainsbury_NP1 's_GE ?_YQUE I_PPIS1 think_VV0 it_PPH1 's_VBZ the_AT one_MC1 --ANONnameM_NP1 has_VHZ	been_VBN sitting_VVG	on_RP and_CC he_PPHS1 's_VHZ broken_VVN it_PPH1 now_RT no_UH you_PPY can_VM bugger_VVI right_RR off_RP cos_CS I_PPIS1 've_VH0 never_RR sat_VVN there_RL no_UH	Family talking over the starter of Christmas dinner.	Discussing, Explaining, Inquiring, complaining, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0547 S0548 S0549 S0550 S0551	5	2015-12-25	0:15:25	Home of ANON to ANON, High Lane, Stockport.	2015 Q4	2015	Close family, partners, very close friends	The tumble dryer, mum dropping her underpants style napkin, Daniel O’Donnel, seeing Caroline Aherne as Mrs Merton, the broken chair, ANON the hairdresser and her baby, Mum’s top, Christmas card from next door, the neighbours across the road, Christmas day traffic, pulling crackers, presents in crackers, napkins in the style of underpants, cracker jokes, ANON playing with the cracker toy – mini skittles, opening table presents, ANON's uni friend ANON, ANON's starter, warmth of plates.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=2	1026525	1026526
4	S4QK	like mm like at twenty-two years old like like this is what we were doing yeah and that and I	was sat	there and my tummy was just making really fucking weird noises and stuff so oh wait go up a sec	like_RR mm_UH like_RR at_II twenty-two_MC years_NNT2 old_JJ like_RR like_RR this_DD1 is_VBZ what_DDQ we_PPIS2 were_VBDR doing_VDG yeah_UH and_CC that_DD1 and_CC I_PPIS1	was_VBDZ sat_VVN	there_RL and_CC my_APPGE tummy_NN1 was_VBDZ just_RR making_VVG really_RR fucking_JJ weird_JJ noises_NN2 and_CC stuff_NN1 so_RR oh_UH wait_VV0 go_VV0 up_RP a_AT1 sec_NNU	Talking in the Bedroom	Discussing, explaining, enquiring,complaining, advising, requesting, announcing,  anecdote telling, telling jokes	Revised	Texts not in Sample release	S0245 S0246	2	2015-08-27	1:00:03	Bedroom, Egremont, Cumbria	2015 Q3	2015	Close family, partners, very close friends	Online Shopping, Technology, Work, Television	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=3	1111965	1111966
5	S4XR	kawa biala tak and the same --FOREIGNWORD tak tak and yeah erm yeah and we were me and my dad	were stood	on a bridge once and a boat went past er in somewhere and it was like a barge with loads	kawa_NN1 biala_NN1 tak_NN1 and_CC the_AT same_DA --FOREIGNWORD_FW tak_VV0 tak_NN1 and_CC yeah_UH erm_UH yeah_UH and_CC we_PPIS2 were_VBDR me_PPIO1 and_CC my_APPGE dad_NN1	were_VBDR stood_VVN	on_II a_AT1 bridge_NN1 once_RR and_CC a_AT1 boat_NN1 went_VVD past_RL er_UH in_II somewhere_RL and_CC it_PPH1 was_VBDZ like_II a_AT1 barge_NN1 with_IW loads_NN2	Two friends talking about various topics (see 9 above) over coffee, in an hotel in Rzeszow, Poland.	Discussing	Revised	Texts not in Sample release	S0618 S0619	2	2016-01-19	0:21:31	Hotel in Rzeszow, Poland.	2016 Q1	2016	Friends, wider family circle	Communications with strangers, travel plans & arrangements, ‘the rat race’ & employment ambitions, happiness.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=4	1187864	1187865
6	S4XR	the beach after work yeah yeah it 's a job like any job mm erm and sometimes you know you	're sat	in your room watching Iplayer wondering if it 's all worth it when you 're so far from your family	the_AT beach_NN1 after_II work_NN1 yeah_UH yeah_UH it_PPH1 's_VBZ a_AT1 job_NN1 like_II any_DD job_NN1 mm_UH erm_UH and_CC sometimes_RT you_PPY know_VV0 you_PPY	're_VBR sat_VVN	in_II your_APPGE room_NN1 watching_VVG Iplayer_NP1 wondering_VVG if_CS it_PPH1 's_VBZ all_DB worth_II it_PPH1 when_CS you_PPY 're_VBR so_RG far_RR from_II your_APPGE family_NN1	Two friends talking about various topics (see 9 above) over coffee, in an hotel in Rzeszow, Poland.	Discussing	Revised	Texts not in Sample release	S0618 S0619	2	2016-01-19	0:21:31	Hotel in Rzeszow, Poland.	2016 Q1	2016	Friends, wider family circle	Communications with strangers, travel plans & arrangements, ‘the rat race’ & employment ambitions, happiness.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=5	1190895	1190896
7	S5JX	you know stood up for herself and things you know she would say to men on buses er if they	were sat	next to her please can you close your legs you 're taking up my space ? wow er and you	you_PPY know_VV0 stood_VVD up_RP for_IF herself_PPX1 and_CC things_NN2 you_PPY know_VV0 she_PPHS1 would_VM say_VVI to_II men_NN2 on_II buses_NN2 er_UH if_CS they_PPHS2	were_VBDR sat_VVN	next_II21 to_II22 her_PPHO1 please_RR can_VM you_PPY close_VVI your_APPGE legs_NN2 you_PPY 're_VBR taking_VVG up_RP my_APPGE space_NN1 ?_YQUE wow_UH er_UH and_CC you_PPY	Two friends talking about various topics (see 9 above) while driving in a campervan from Tarnow to Rzeszow, Poland.	Discussing	Revised	Texts not in Sample release	S0618 S0619	2	2016-01-19	1:07:24	Campervan journey from Tarnow to Rzeszow, Poland.	2016 Q1	2016	Friends, wider family circle	Fitness & appearance, travel, reading, careers & volunteering, friendships & relationships, men & women, exercise & health, directions, televisions, finding a parking spot.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=6	1383846	1383847
8	S5JX	in the gym with my trainer yesterday he was spotting me when I was squatting er so he had he	was stood	behind me and he was bending with me uhu erm as I was bending with his hands like under my	in_II the_AT gym_NN1 with_IW my_APPGE trainer_NN1 yesterday_RT he_PPHS1 was_VBDZ spotting_VVG me_PPIO1 when_CS I_PPIS1 was_VBDZ squatting_VVG er_UH so_RR he_PPHS1 had_VHD he_PPHS1	was_VBDZ stood_VVN	behind_II me_PPIO1 and_CC he_PPHS1 was_VBDZ bending_VVG with_IW me_PPIO1 uhu_UH erm_UH as_CSA I_PPIS1 was_VBDZ bending_VVG with_IW his_APPGE hands_NN2 like_II under_II my_APPGE	Two friends talking about various topics (see 9 above) while driving in a campervan from Tarnow to Rzeszow, Poland.	Discussing	Revised	Texts not in Sample release	S0618 S0619	2	2016-01-19	1:07:24	Campervan journey from Tarnow to Rzeszow, Poland.	2016 Q1	2016	Friends, wider family circle	Fitness & appearance, travel, reading, careers & volunteering, friendships & relationships, men & women, exercise & health, directions, televisions, finding a parking spot.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=7	1385541	1385542
9	S5LP	this information she just g- gave it to me ask --ANONnameF there we were at --ANONnameF 's house and we	were sat	there and then she just started telling me about how she had a sex swing and how she had sex	this_DD1 information_NN1 she_PPHS1 just_RR g-_FU gave_VVD it_PPH1 to_II me_PPIO1 ask_VV0 --ANONnameF_NP1 there_RL we_PPIS2 were_VBDR at_II --ANONnameF_NP1 's_GE house_NN1 and_CC we_PPIS2	were_VBDR sat_VVN	there_RL and_CC then_RT she_PPHS1 just_RR started_VVD telling_VVG me_PPIO1 about_II how_RRQ she_PPHS1 had_VHD a_AT1 sex_NN1 swing_NN1 and_CC how_RRQ she_PPHS1 had_VHD sex_NN1	Family talking over dinner	Discussing, explaining, inquiring, complaining, advising, anecdote telling	Revised	Texts within Sample release	S0245 S0246 S0249 S0357	4	2015-01-15	1:05:37	Living room, friends flat	2015 Q1	2015	Close family, partners, very close friends	School, tv, work, finances, friends, food, university	T18	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=8	1394806	1394807
10	S5LP	she was really drunk and my mum was like actually looking after her yeah and we went outside and --ANONnameF	was stood	behind her while she was leaning over a wall being sick pretending to bum her what a dick head that	she_PPHS1 was_VBDZ really_RR drunk_JJ and_CC my_APPGE mum_NN1 was_VBDZ like_RR actually_RR looking_VVG after_II her_PPHO1 yeah_UH and_CC we_PPIS2 went_VVD outside_RL and_CC --ANONnameF_NP1	was_VBDZ stood_VVN	behind_II her_PPHO1 while_CS she_PPHS1 was_VBDZ leaning_VVG over_II a_AT1 wall_NN1 being_VBG sick_JJ pretending_VVG to_II bum_NN1 her_APPGE what_DDQ a_AT1 dick_NN1 head_NN1 that_DD1	Family talking over dinner	Discussing, explaining, inquiring, complaining, advising, anecdote telling	Revised	Texts within Sample release	S0245 S0246 S0249 S0357	4	2015-01-15	1:05:37	Living room, friends flat	2015 Q1	2015	Close family, partners, very close friends	School, tv, work, finances, friends, food, university	T18	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=9	1396153	1396154
