Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S23A	really so and then mm kinda I could be so mean in that situation so I could move you could	be sitting	there and just chuckling every now --UNCLEARWORD make them really paranoid yeah at u- one of the obstacle races that	really_RR so_RR and_CC then_RT mm_UH kinda_RR I_PPIS1 could_VM be_VBI so_RG mean_JJ in_II that_DD1 situation_NN1 so_RR I_PPIS1 could_VM move_VVI you_PPY could_VM	be_VBI sitting_VVG	there_RL and_CC just_RR chuckling_VVG every_AT1 now_RT --UNCLEARWORD_FU make_VV0 them_PPHO2 really_RR paranoid_JJ yeah_UH at_II u-_FU one_MC1 of_IO the_AT obstacle_NN1 races_NN2 that_CST	Catching up with family over food and presents	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0021 S0032 S0094 S0095	4	2014-12-27	1:50:43	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	Computer programming, food, wine, temperature, saunas, opening presents	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=0	5410	5411
2	S23A	like as the ti- as the game goes on you take off tiles so the island or oh whatever you	're standing	on gets smaller and smaller oh that 's quite exciting mm and so you 're like yeah it m- it	like_RR as_II the_AT ti-_FU as_II the_AT game_NN1 goes_VVZ on_II you_PPY take_VV0 off_II tiles_NN2 so_RR the_AT island_NN1 or_CC oh_UH whatever_DDQV you_PPY	're_VBR standing_VVG	on_RP gets_VVZ smaller_JJR and_CC smaller_JJR oh_UH that_DD1 's_VBZ quite_RG exciting_JJ mm_UH and_CC so_CS you_PPY 're_VBR like_RR yeah_UH it_PPH1 m-_FU it_PPH1	Catching up with family over food and presents	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0021 S0032 S0094 S0095	4	2014-12-27	1:50:43	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	Computer programming, food, wine, temperature, saunas, opening presents	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=1	12861	12862
3	S23A	the first time they 're sheared time that the sheep has a shearing oh right maybe oh right baby you	are sitting	on a present there huh right have I opened it yet ? no first and there 's another one erm	the_AT first_MD time_NNT1 they_PPHS2 're_VBR sheared_JJ time_NNT1 that_CST the_AT sheep_NN has_VHZ a_AT1 shearing_NN1 oh_UH right_RR maybe_RR oh_UH right_RR baby_NN1 you_PPY	are_VBR sitting_VVG	on_II a_AT1 present_NN1 there_RL huh_UH right_RR have_VH0 I_PPIS1 opened_VVN it_PPH1 yet_RR ?_YQUE no_UH first_MD and_CC there_EX 's_VBZ another_DD1 one_PN1 erm_UH	Catching up with family over food and presents	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0021 S0032 S0094 S0095	4	2014-12-27	1:50:43	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	Computer programming, food, wine, temperature, saunas, opening presents	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=2	17473	17474
4	S26N	we ? yeah we did we did we had a lovely time yeah and when we come back the budgie	's sitting	on eggs yeah she 's on on on the day is n't she ? yeah we got a thrushes nest	we_PPIS2 ?_YQUE yeah_UH we_PPIS2 did_VDD we_PPIS2 did_VDD we_PPIS2 had_VHD a_AT1 lovely_JJ time_NNT1 yeah_UH and_CC when_CS we_PPIS2 come_VV0 back_RP the_AT budgie_NN1	's_VBZ sitting_VVG	on_II eggs_NN2 yeah_UH she_PPHS1 's_VBZ on_II on_II on_II the_AT day_NNT1 is_VBZ n't_XX she_PPHS1 ?_YQUE yeah_UH we_PPIS2 got_VVD a_AT1 thrushes_NN2 nest_VV0	Back from Cornwall	Discussing, Explaining, Announcing	Revised	Texts not in Sample release	S0012 S0013 S0152	3	2015-05-12	1:48:08	Speaker's home	2015 Q2	2015	Close family, partners, very close friends	School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=3	59713	59714
5	S27D	I mean two weeks sounds like quite a long time to me yeah yeah I mean I 'd hate to	be sitting	around for two weeks if I 'd just been diagnosed with that waiting for another test well wait what else	I_PPIS1 mean_VV0 two_MC weeks_NNT2 sounds_NN2 like_II quite_RG a_AT1 long_JJ time_NNT1 to_II me_PPIO1 yeah_UH yeah_UH I_PPIS1 mean_VV0 I_PPIS1 'd_VM hate_VVI to_TO	be_VBI sitting_VVG	around_RP for_IF two_MC weeks_NNT2 if_CS I_PPIS1 'd_VHD just_RR been_VBN diagnosed_VVN with_IW that_DD1 waiting_NN1 for_IF another_DD1 test_NN1 well_RR wait_VV0 what_DDQ else_RR	Husband and wife discuss some issues over a drink.	Discussing, explaining, complaining	Original	Texts within Sample release	S0024 S0144	2	2012-03-06	0:32:10	The Swan pub, Norfolk	2012 Q1	2012	Close family, partners, very close friends	Health, politics, finance, TV	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=4	66671	66672
6	S2B5	bank it would n't be doing much more with the zero point zero one percent interest no it would still	be sitting	there but the thing is we 're not I do n't know I mean it does n't seem like a	bank_NN1 it_PPH1 would_VM n't_XX be_VBI doing_VDG much_RR more_RRR with_IW the_AT zero_NN1 point_NN1 zero_MC one_MC1 percent_NNU interest_NN1 no_UH it_PPH1 would_VM still_RR	be_VBI sitting_VVG	there_RL but_CCB the_AT thing_NN1 is_VBZ we_PPIS2 're_VBR not_XX I_PPIS1 do_VD0 n't_XX know_VVI I_PPIS1 mean_VV0 it_PPH1 does_VDZ n't_XX seem_VVI like_II a_AT1	Husband and wife discuss some issues over a drink.	Discussing, explaining	Original	Texts within Sample release	S0024 S0144	2	2012-03-06	0:36:03	The Swan pub, Norfolk	2012 Q1	2012	Close family, partners, very close friends	Dogs, property, economics, health	T20	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=5	131399	131400
7	S2KP	on what what the hell 's that ? two o'clock in the morning the DVD 's still playing --UNCLEARWORD mother	's sitting	up there like that with her mouth wide open that was alright then taking that --UNCLEARWORD mm oh she 's	on_II what_DDQ what_DDQ the_AT hell_NN1 's_VBZ that_DD1 ?_YQUE two_MC o'clock_RA in_II the_AT morning_NNT1 the_AT DVD_NP1 's_VBZ still_RR playing_VVG --UNCLEARWORD_FU mother_NN1	's_VBZ sitting_VVG	up_RP there_RL like_II that_DD1 with_IW her_APPGE mouth_NN1 wide_RR open_JJ that_DD1 was_VBDZ alright_JJ then_RT taking_VVG that_DD1 --UNCLEARWORD_FU mm_UH oh_UH she_PPHS1 's_VBZ	Afternoon tea with family and saying goodbye	Discussing, explaining, inquiring, complaining, anecdote telling	Revised	Texts not in Sample release	S0192 S0198 S0229 S0230	4	2014-10-02	0:45:49	In mine and ANON's flat, Sussex	2014 Q4	2014	Close family, partners, very close friends	Braking laptops, types of drinking water, DIY, walking around Brighton, weather, family relationships and friends, flat sharing, bin strikes, setting up a blackberry phone, alcohol drinking, didgeridoo, describing colours, contact lenses, neighbours, falling asleep with the tv on, finding glasses, water companies, dinner, voice recognition software, family visiting, SAT NAV, saying goodbye. 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=6	250089	250090
8	S2KP	sitting up there like that with her mouth wide open that was alright then taking that --UNCLEARWORD mm oh she	's sitting	up like that with her mouth open fast asleep with her glasses hanging down yeah I wish I 'd 've	sitting_VVG up_RP there_RL like_II that_DD1 with_IW her_APPGE mouth_NN1 wide_RR open_JJ that_DD1 was_VBDZ alright_JJ then_RT taking_VVG that_DD1 --UNCLEARWORD_FU mm_UH oh_UH she_PPHS1	's_VBZ sitting_VVG	up_RP like_II that_DD1 with_IW her_APPGE mouth_NN1 open_VV0 fast_RR asleep_JJ with_IW her_APPGE glasses_NN2 hanging_VVG down_RP yeah_UH I_PPIS1 wish_VV0 I_PPIS1 'd_VM 've_VHI	Afternoon tea with family and saying goodbye	Discussing, explaining, inquiring, complaining, anecdote telling	Revised	Texts not in Sample release	S0192 S0198 S0229 S0230	4	2014-10-02	0:45:49	In mine and ANON's flat, Sussex	2014 Q4	2014	Close family, partners, very close friends	Braking laptops, types of drinking water, DIY, walking around Brighton, weather, family relationships and friends, flat sharing, bin strikes, setting up a blackberry phone, alcohol drinking, didgeridoo, describing colours, contact lenses, neighbours, falling asleep with the tv on, finding glasses, water companies, dinner, voice recognition software, family visiting, SAT NAV, saying goodbye. 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=7	250110	250111
9	S2LD	are really nice every single person that is walking past has looked at us no no that 's why I	'm sitting	this way I ca n't handle this kind of thing no no no two per cent when I go inside	are_VBR really_RR nice_JJ every_AT1 single_JJ person_NN1 that_CST is_VBZ walking_VVG past_RL has_VHZ looked_VVN at_II us_PPIO2 no_UH no_UH that_DD1 's_VBZ why_RRQ I_PPIS1	'm_VBM sitting_VVG	this_DD1 way_NN1 I_PPIS1 ca_VM n't_XX handle_VVI this_DD1 kind_NN1 of_IO thing_NN1 no_UH no_UH no_UH two_MC per_NNU21 cent_NNU22 when_CS I_PPIS1 go_VV0 inside_RL	Friends in a shopping centre chatting over lunch and a card game about school and TV shows	Discussing, explaining, inquiring, complaining, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0405 S0555 S0556	3	2015-10-21	1:07:58	Shopping centre, Slough	2015 Q4	2015	Friends, wider family circle	Sandwiches, food, friends and schoolmates, military/army/war, racism, school prefects, TV shows, card-games, movies, teachers, family, international politics, holiday stories, 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=8	264586	264587
10	S2LD	're only meant to sleep there true we want to do like interesting stuff we do n't want to just	be sitting	in the villa no I want I want there to be a surprise something wait wait here you can tell	're_VBR only_RR meant_VVN to_TO sleep_VVI there_RL true_JJ we_PPIS2 want_VV0 to_TO do_VDI like_RR interesting_JJ stuff_NN1 we_PPIS2 do_VD0 n't_XX want_VVI to_TO just_RR	be_VBI sitting_VVG	in_II the_AT villa_NN1 no_UH I_PPIS1 want_VV0 I_PPIS1 want_VV0 there_RL to_TO be_VBI a_AT1 surprise_NN1 something_PN1 wait_VV0 wait_VV0 here_RL you_PPY can_VM tell_VVI	Friends in a shopping centre chatting over lunch and a card game about school and TV shows	Discussing, explaining, inquiring, complaining, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0405 S0555 S0556	3	2015-10-21	1:07:58	Shopping centre, Slough	2015 Q4	2015	Friends, wider family circle	Sandwiches, food, friends and schoolmates, military/army/war, racism, school prefects, TV shows, card-games, movies, teachers, family, international politics, holiday stories, 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=9	275309	275310
