Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Country	Decade	Text genre	Text source	Year	URL	Matchbegin corpus position	Matchend corpus position
1	BA_fF032676	to become mine again . Baby-sitter ? ' Of a kind . Although the baby does n't realise he 's	<<< being sat >>>	. ' Ransom Holswood ? ' Ah , you know his real label ? Yes , that 's the lad	to_TO become_VVI mine_PPGE again_RT ._YSTP Baby-sitter_NN1 ?_YQUE '_YQUO Of_IO a_AT1 kind_NN1 ._YSTP Although_CS the_AT baby_NN1 does_VDZ n't_XX realise_VVI he_PPHS1 's_VBZ	<<< being_VBG sat_VVN >>>	._YSTP '_YQUO Ransom_VV0 Holswood_NP1 ?_YQUE '_YQUO Ah_UH ,_YCOM you_PPY know_VV0 his_APPGE real_JJ label_NN1 ?_YQUE Yes_UH ,_YCOM that_DD1 's_VBZ the_AT lad_NN1	Australia	2000s	book	unknown	2003	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=0	925957	925958
2	BA_Nm012157	unanimous . The students foresaw entertainment and notoriety , and voted " yes " ---with one exception , and he	<<< was sat >>>	upon until he changed his mind . Miss Blackwell did the then usual two-year course , graduating as best student	unanimous_JJ ._YSTP The_AT students_NN2 foresaw_VVD entertainment_NN1 and_CC notoriety_NN1 ,_YCOM and_CC voted_VVD "_YQUO yes_UH "_YQUO ---with_IW one_MC1 exception_NN1 ,_YCOM and_CC he_PPHS1	<<< was_VBDZ sat_VVN >>>	upon_II until_CS he_PPHS1 changed_VVD his_APPGE mind_NN1 ._YSTP Miss_NNB Blackwell_NP1 did_VDD the_AT then_JJ usual_JJ two-year_JJ course_NN1 ,_YCOM graduating_VVG as_RG best_JJT student_NN1	Australia	2000s	book	THE MEDICAL MYSTERIES E-OMNIBUS	2001	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=1	2760146	2760147
3	BA_NM012484	. The students foresaw entertainment and notoriety , and voted " yes " - with one exception , and he	<<< was sat >>>	upon until he changed his mind . Miss Blackwell did the then usual two-year course , graduating as best student	._YSTP The_AT students_NN2 foresaw_VVD entertainment_NN1 and_CC notoriety_NN1 ,_YCOM and_CC voted_VVD "_YQUO yes_UH "_YQUO -_YDSH with_IW one_MC1 exception_NN1 ,_YCOM and_CC he_PPHS1	<<< was_VBDZ sat_VVN >>>	upon_II until_CS he_PPHS1 changed_VVD his_APPGE mind_NN1 ._YSTP Miss_NNB Blackwell_NP1 did_VDD the_AT then_JJ usual_JJ two-year_JJ course_NN1 ,_YCOM graduating_VVG as_RG best_JJT student_NN1	Australia	2000s	book	MEDICAL MYSTERIES eOMNIBUS	2001	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=2	2991901	2991902
4	BA_Qf022206	his family 's praise and approval . However , in our society there are still a great many babies who	<<< are sat >>>	on pots and ordered to perform long before they can possibly understand what is expected of them , much less	his_APPGE family_NN1 's_GE praise_NN1 and_CC approval_NN1 ._YSTP However_RR ,_YCOM in_II our_APPGE society_NN1 there_EX are_VBR still_RR a_AT1 great_JJ many_DA2 babies_NN2 who_PNQS	<<< are_VBR sat_VVN >>>	on_II pots_NN2 and_CC ordered_VVN to_TO perform_VVI long_RR before_CS they_PPHS2 can_VM possibly_RR understand_VVI what_DDQ is_VBZ expected_VVN of_IO them_PPHO2 ,_YCOM much_RR less_RRR	Australia	2000s	book	BEYOND FEAR	2002	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=3	3248699	3248700
5	BA_Qf022206	told me , ` I could have smashed someone else , but I was n't in the mood . I	<<< was sat >>>	at the other end of the lounge where they could n't see me . I got the nail scissors out	told_VVD me_PPIO1 ,_YCOM `_YQUO I_PPIS1 could_VM have_VHI smashed_VVN someone_PN1 else_RR ,_YCOM but_CCB I_PPIS1 was_VBDZ n't_XX in_II the_AT mood_NN1 ._YSTP I_PPIS1	<<< was_VBDZ sat_VVN >>>	at_II the_AT other_JJ end_NN1 of_IO the_AT lounge_NN1 where_CS they_PPHS2 could_VM n't_XX see_VVI me_PPIO1 ._YSTP I_PPIS1 got_VVD the_AT nail_NN1 scissors_NN2 out_RP	Australia	2000s	book	BEYOND FEAR	2002	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=4	3333065	3333066
6	BA_SF042743	sink set into an unstained , pubic hair-free cabinet decorated with sample-sized beauty products , a Western-style toilet able to	<<< be sat >>>	upon and flushed . Funny how something as routine as toileting was always something I took for granted , but	sink_NN1 set_VVN into_II an_AT1 unstained_JJ ,_YCOM pubic_JJ hair-free_JJ cabinet_NN1 decorated_VVN with_IW sample-sized_JJ beauty_NN1 products_NN2 ,_YCOM a_AT1 Western-style_JJ toilet_NN1 able_JK to_TO	<<< be_VBI sat_VVN >>>	upon_II and_CC flushed_VVN ._YSTP Funny_JJ how_RRQ something_PN1 as_RG routine_JJ as_CSA toileting_NN1 was_VBDZ always_RR something_PN1 I_PPIS1 took_VVD for_IF granted_VVN ,_YCOM but_CCB	Australia	2000s	book	HELLO MISSUS!	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=5	3557253	3557254
7	BA_XF032678	she was semiconscious and partly paralyzed . She voided herself , emptied her bladder and bowel . Was indifferent to	<<< being sat >>>	on the toilet , her drooping head resting against the vampire 's stomach , while her other end gushed ,	she_PPHS1 was_VBDZ semiconscious_JJ and_CC partly_RR paralyzed_VVD ._YSTP She_PPHS1 voided_VVD herself_PPX1 ,_YCOM emptied_VVD her_APPGE bladder_NN1 and_CC bowel_NN1 ._YSTP Was_VBDZ indifferent_JJ to_II	<<< being_VBG sat_VVN >>>	on_II the_AT toilet_NN1 ,_YCOM her_APPGE drooping_JJ head_NN1 resting_VVG against_II the_AT vampire_NN1 's_GE stomach_NN1 ,_YCOM while_CS her_APPGE other_JJ end_NN1 gushed_VVD ,_YCOM	Australia	2000s	book	unknown	2003	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=6	4702848	4702849
8	BB_aM022184	itself in my unprepared stomach wall and I went down with the noise of a cheap plastic sofa that 's	<<< been sat >>>	on . I sensed a knee coming facewards and got both hands up and pitched myself forward , bringing the	itself_PPX1 in_II my_APPGE unprepared_JJ stomach_NN1 wall_NN1 and_CC I_PPIS1 went_VVD down_RP with_IW the_AT noise_NN1 of_IO a_AT1 cheap_JJ plastic_NN1 sofa_NN1 that_CST 's_VHZ	<<< been_VBN sat_VVN >>>	on_RP ._YSTP I_PPIS1 sensed_VVD a_AT1 knee_NN1 coming_VVG facewards_RL and_CC got_VVD both_DB2 hands_NN2 up_RP and_CC pitched_VVD myself_PPX1 forward_RL ,_YCOM bringing_VVG the_AT	UK	2000s	book	INSTRUMENTS OF DARKNESS	2002	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=7	6634121	6634122
9	BB_aM90_353	by days lived through fantasies of ferocious freedoms , of suppressions even more complete . The bunk seemed to have	<<< been sat >>>	on and messed up all week , then recently remade , not very well . Nellis had confided as he	by_II days_NNT2 lived_VVD through_II fantasies_NN2 of_IO ferocious_JJ freedoms_NN2 ,_YCOM of_IO suppressions_NN2 even_RR more_RGR complete_JJ ._YSTP The_AT bunk_NN1 seemed_VVD to_TO have_VHI	<<< been_VBN sat_VVN >>>	on_RP and_CC messed_VVN up_RP all_DB week_NNT1 ,_YCOM then_RT recently_RR remade_VVN ,_YCOM not_XX very_RG well_RR ._YSTP Nellis_NP1 had_VHD confided_VVN as_CSA he_PPHS1	UK	1990s	book	Stone City	1990	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=8	8000283	8000284
10	BB_aM941259	afternoon , he returned from Kilburn and she greeted him with a look of embarrassment . ` I 've just	<<< been stood >>>	up , " she said , her hand on the telephone . ` We were going to Covent Garden tonight	afternoon_NNT1 ,_YCOM he_PPHS1 returned_VVD from_II Kilburn_NP1 and_CC she_PPHS1 greeted_VVD him_PPHO1 with_IW a_AT1 look_NN1 of_IO embarrassment_NN1 ._YSTP `_YQUO I_PPIS1 've_VH0 just_RR	<<< been_VBN stood_VVN >>>	up_RP ,_YCOM "_YQUO she_PPHS1 said_VVD ,_YCOM her_APPGE hand_NN1 on_II the_AT telephone_NN1 ._YSTP `_YQUO We_PPIS2 were_VBDR going_VVG to_II Covent_NP1 Garden_NP1 tonight_RT	UK	1990s	book	Final Resort	1994	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=9	8656985	8656986
