Token.ID	Number.of.hit	Text.ID	Context.before	Query.item	Context.after	Tagged.context.before	Tagged.query.item	Tagged.context.after	Activity.description	Selected.characterisations.of.conversation.type	Transcription.conventions.used	Sample.release.inclusion	List.of.speaker.IDs	Number.of.speakers	Recording.date	Recording.length	Recording.location	Recording.period	Year.of.recording	Inter.speaker.relationship	Topics.covered	Transcriber	URL	Match.begin.corpus.position	Match.end.corpus.position	region3	gender	region	variant	text	subj.person	check
328	153	SP2Y	that you 'd be er for a start you 'd have to get a dictionary out and you might actually	be sitting	there thinking I 'm not a hundred percent sure what 's been decided mm yeah --UNCLEARWORD yeah because you do	that_CST you_PPY 'd_VM be_VBI er_UH for_IF a_AT1 start_NN1 you_PPY 'd_VM have_VHI to_TO get_VVI a_AT1 dictionary_NN1 out_RP and_CC you_PPY might_VM actually_RR	be_VBI sitting_VVG	there_RL thinking_VVG I_PPIS1 'm_VBM not_XX a_AT1 hundred_NNO percent_NNU sure_JJ what_DDQ 's_VHZ been_VBN decided_VVN mm_UH yeah_UH --UNCLEARWORD_FU yeah_UH because_CS you_PPY do_VD0	Colleagues discussing a business seminar	Discussing	Revised	Texts within Sample release	S0238 S0240 S0241	3	04/09/2014	01:54:53	"University meeting room, Leeds"	2014 Q3	2014	Colleagues	the speaker consent form; structure and content of a seminar the 3 colleagues will be giving on international business communication 	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=152	7941631	7941632	North	female	Yorkshire	ing	actually be sitting there thinking I 'm not a	2	
458	123	S7TT	it were n't no it was in the summer when they 'd been standing there and yeah it 's all	been standing	there all day standing out in the sun all day yeah yeah were n't so good was it but that	it_PPH1 were_VBDR n't_XX no_UH it_PPH1 was_VBDZ in_II the_AT summer_NNT1 when_CS they_PPHS2 'd_VHD been_VBN standing_VVG there_RL and_CC yeah_UH it_PPH1 's_VHZ all_DB	been_VBN standing_VVG	there_RL all_DB day_NNT1 standing_VVG out_RP in_II the_AT sun_NN1 all_DB day_NNT1 yeah_UH yeah_UH were_VBDR n't_XX so_RG good_JJ was_VBDZ it_PPH1 but_CC that_DD1	Talking over lunch	Discussing	Revised	Texts within Sample release	S0008 S0012 S0013	3	31/10/2014	01:40:47	Speakers' home	2014 Q4	2014	"Close family, partners, very close friends"	"Teeth, old people, motorbikes, car repairs, roads"	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=122	2568866	2568867	South	male	EasternE	ing	all been standing there all day standing out in	3	
65	102	SG87	n't get are brilliant for adults plus my mum and dad would 've been taking me to watch em and	be sat	there going these are actually good films --UNCLEARWORD I remember my mum took me to see PokÃ©mon Movie I saw	n't_XX get_VVI are_VBR brilliant_JJ for_IF adults_NN2 plus_II my_APPGE mum_NN1 and_CC dad_NN1 would_VM 've_VHI been_VBN taking_VVG me_PPIO1 to_TO watch_VVI em_PPHO2 and_CC	be_VBI sat_VVN	there_RL going_VVG these_DD2 are_VBR actually_RR good_JJ films_NN2 --UNCLEARWORD_FU I_PPIS1 remember_VV0 my_APPGE mum_NN1 took_VVD me_PPIO1 to_TO see_VVI PokÃ©mon_NP1 Movie_NN1 I_PPIS1 saw_VVD	Chatting in a pub	"Discussing, explaining, inquiring, complaining, announcing, anecdote telling"	Revised	Texts not in Sample release	S0202 S0203	2	19/08/2014	00:33:28	In a bar	2014 Q3	2014	"Close family, partners, very close friends"	"Food, money, hobbies, chips"	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=101	5503531	5503532	North	male	Yorkshire	ed	and be sat there going these are actually good	3	
294	56	S8X7	n't know that you know just did n't was n't thinking properly can have so much of an impact and	was sitting	here thinking of you know when you have a problem you always think there is a way round his there	n't_XX know_VVI that_DD1 you_PPY know_VV0 just_RR did_VDD n't_XX was_VBDZ n't_XX thinking_VVG properly_RR can_VM have_VHI so_RG much_DA1 of_IO an_AT1 impact_NN1 and_CC	was_VBDZ sitting_VVG	here_RL thinking_NN1 of_IO you_PPY know_VV0 when_RRQ you_PPY have_VH0 a_AT1 problem_NN1 you_PPY always_RR think_VV0 there_EX is_VBZ a_AT1 way_NN1 round_II his_APPGE there_EX	Friends chatting in the kitchen	"Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements "	Original	Texts within Sample release	S0041 S0046 S0086	3	25/03/2012	01:46:16	"ANONâ€™s home, Cambridge"	2012 Q1	2012	"Friends, wider family circle"	"Injuries, tattoos, friendships"	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=55	2978162	2978163	North	female	Yorkshire	ing	and was sitting here thinking of you know when	2	
673	391	SV97	jumpsuit in the old style was mm hm I was flying somewhere and must have been across the Atlantic and	was sitting	in a three this was in in erm premier economy I think mm mm and there was a mother and	jumpsuit_NN1 in_II the_AT old_JJ style_NN1 was_VBDZ mm_UH hm_UH I_PPIS1 was_VBDZ flying_VVG somewhere_RL and_CC must_VM have_VHI been_VBN across_II the_AT Atlantic_NP1 and_CC	was_VBDZ sitting_VVG	in_II a_AT1 three_MC this_DD1 was_VBDZ in_II in_II erm_UH premier_JJ economy_NN1 I_PPIS1 think_VV0 mm_UH mm_UH and_CC there_EX was_VBDZ a_AT1 mother_NN1 and_CC	Close family catching up with news over a meal.	"Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements"	Revised	Texts not in Sample release	S0486 S0489 S0523	3	07/03/2016	00:45:51	Brazz at Taunton Castle.	2016 Q1	2016	"Close family, partners, very close friends"	"Next holidays, having help in the house, travelling, Singapore, food and drink."	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=390	9797434	9797435	South	male	SouthW	ing	and was sitting in a three this was in	1	
310	99	SFET	an early night well it 's not too bad I had sort of well when we got in there and	was sitting	there I had visions of three in the morning the thing that annoyed me a little bit is it was	an_AT1 early_JJ night_NNT1 well_RR it_PPH1 's_VBZ not_XX too_RG bad_JJ I_PPIS1 had_VHD sort_RR21 of_RR22 well_RR when_CS we_PPIS2 got_VVD in_II there_RL and_CC	was_VBDZ sitting_VVG	there_RL I_PPIS1 had_VHD visions_NN2 of_IO three_MC in_II the_AT morning_NNT1 the_AT thing_NN1 that_CST annoyed_VVD me_PPIO1 a_AT1 little_JJ bit_NN1 is_VBZ it_PPH1 was_VBDZ		"Discussing, inquiring, complaining, advising"	Original	Texts within Sample release	S0058 S0179	2	29/03/2012	00:22:06	ANON's car	2012 Q1	2012	"Close family, partners, very close friends"	"A&E, injuries"	T03	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=98	5209834	5209835	North	female	NorthE	ing	and was sitting there I had visions of three	3	
501	173	SC3M	ta go he says cos I 've got someone on the roof here and this boy had climbed up and	was standing	there threatening to throw himself off oh christ the PE teacher was standing underneath and someone else was standing underneath	ta_TO go_VVI he_PPHS1 says_VVZ cos_CS I_PPIS1 've_VH0 got_VVN someone_PN1 on_II the_AT roof_NN1 here_RL and_CC this_DD1 boy_NN1 had_VHD climbed_VVN up_RP and_CC	was_VBDZ standing_VVG	there_RL threatening_VVG to_TO throw_VVI himself_PPX1 off_RP oh_UH christ_NP1 the_AT PE_NN1 teacher_NN1 was_VBDZ standing_VVG underneath_RL and_CC someone_PN1 else_RR was_VBDZ standing_VVG underneath_II	Having lunch with mum	"Discussing, Explaining, Inquiring, Complaining, Anecdote telling"	Revised	Texts within Sample release	S0439 S0440	2	11/07/2015	00:44:07	Restaurant 	2015 Q3	2015	"Close family, partners, very close friends"	"Work, family, friends, social. food"	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=172	4106000	4106001	South	female	EasternE	ing	and was standing there threatening to throw himself off	3	
229	387	SV2V	Saturday morning it was some ridiculous hour of the morning all of us really drunk and I turn over --ANONnameF	is sat	in --ANONnameM 's lap er in the in the pub now I thought that --ANONnameM had a bit of a	Saturday_NPD1 morning_NNT1 it_PPH1 was_VBDZ some_DD ridiculous_JJ hour_NNT1 of_IO the_AT morning_NNT1 all_DB of_IO us_PPIO2 really_RR drunk_JJ and_CC I_PPIS1 turn_VV0 over_II --ANONnameF_NP1	is_VBZ sat_VVN	in_II --ANONnameM_NP1 's_GE lap_NN1 er_UH in_II the_AT in_II the_AT pub_NN1 now_RT I_PPIS1 thought_VVD that_CST --ANONnameM_NP1 had_VHD a_AT1 bit_NN1 of_IO a_AT1	Friends chatting 	"Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements "	Original	Texts within Sample release	S0041 S0084	2	31/03/2012	02:19:57	"ANONâ€™s home, Cambridge"	2012 Q1	2012	"Friends, wider family circle"	"Food, identity, friends"	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=386	9706998	9706999	South	female	NA	ed	--ANONnameF is sat in --ANONnameM 's lap er in	3	
702	430	SYTL	mm I did n't take all the no --UNCLEARWORD I had some had some yeah it 's good that --ANONnameM	's sitting	up yeah well he did n't stay there though that 's the only thing mm cos while he 's stepped	mm_UH I_PPIS1 did_VDD n't_XX take_VVI all_DB the_AT no_UH --UNCLEARWORD_FU I_PPIS1 had_VHD some_DD had_VHD some_DD yeah_UH it_PPH1 's_VBZ good_JJ that_CST --ANONnameM_NP1	's_VBZ sitting_VVG	up_RP yeah_UH well_RR he_PPHS1 did_VDD n't_XX stay_VVI there_RL though_RR that_DD1 's_VBZ the_AT only_JJ thing_NN1 mm_UH cos_CS while_CS he_PPHS1 's_VHZ stepped_VVN	"Dinner conversation about visiting relations, ice cream and writing a kids story."	"Discussing, making arrangements"	Revised	Texts not in Sample release	S0416 S0417 S0418	3	25/09/2015	00:27:45	" Ballincollig, Cork, Ireland,  home."	2015 Q3	2015	"Close family, partners, very close friends"	"Dinner and food, reading and graphic novels, visiting relations, talking about brother, plans with visiting Granny, ice cream, ideas for a kids book,  "	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=429	11055694	11055695	South	male	NA	ing	--ANONnameM 's sitting up yeah well he did n't	3	
132	204	SVLH	and do a bit I know cos like --ANONnameM does a hell of a lot more than him and --ANONnameM	was sat	there I was like I 'm just a bit like why am I making --ANONnameM the thing ? cos I	and_CC do_VD0 a_RR21 bit_RR22 I_PPIS1 know_VV0 cos_CS like_II --ANONnameM_NP1 does_VDZ a_AT1 hell_NN1 of_IO a_AT1 lot_NN1 more_DAR than_CSN him_PPHO1 and_CC --ANONnameM_NP1	was_VBDZ sat_VVN	there_RL I_PPIS1 was_VBDZ like_RR I_PPIS1 'm_VBM just_RR a_RR21 bit_RR22 like_II why_RRQ am_VBM I_PPIS1 making_VVG --ANONnameM_NP1 the_AT thing_NN1 ?_YQUE cos_CS I_PPIS1	Talking during a car journey	"Discussing, explaining, inquiring, complaining, anecdote telling"	Revised	Texts not in Sample release	S0548 S0549 S0551	3	02/01/2016	00:21:12	"in the car driving from High Lane, Stockport to Macclesfield, Cheshire."	2016 Q1	2016	"Close family, partners, very close friends"	"Getting new furniture, the tip, ANON's friend and her family, other people washing your clothes, our extended family, unwanted presents, grandparents, new building, swearing, the beaver scout Christmas party, a boy from Primary School, network scouts, ANON's friend ANON, ANON's ill partner, dementia, ANONâ€™s friend."	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=203	10043194	10043195	North	female	NA	ed	--ANONnameM was sat there I was like I 'm	3	
