Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S2EF	an hour early and we could n't get into the sports centre cos it was n't open yet so we	're stood	outside this like massive group of us there must have been like well over a team of us stood all	an_AT1 hour_NNT1 early_RR and_CC we_PPIS2 could_VM n't_XX get_VVI into_II the_AT sports_NN2 centre_NN1 cos_CS it_PPH1 was_VBDZ n't_XX open_JJ yet_RR so_RR we_PPIS2	're_VBR stood_VVN	outside_II this_DD1 like_RR massive_JJ group_NN1 of_IO us_PPIO2 there_EX must_VM have_VHI been_VBN like_II well_JJ over_II a_AT1 team_NN1 of_IO us_PPIO2 stood_VVD all_DB	Talking while eating pizza with housemates	Discussing, explaining, inquiring, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0567 S0611 S0620 S0623	4	2016-01-10	1:25:40	All speakers’ rented uni home, Lancaster	2016 Q1	2016	Close family, partners, very close friends	Discussing/eating food, bedrooms, maths, Sugarhouse nightclub, the flooding in Lancaster, camping, travelling in Africa, games, Twilight, Jack Whitehall, The Big Fat Quiz, Cloud Atlas, the Chaos Walking trilogy, TV shows, mutual friends, The Vampire Diaries, How I Met Your Mother, playing Articulate, playing Heads Up, reading thrillers, bad presents, timetables, courses, Charlie Simpson, quizzes, University Challenge, Hungry Hippos, religious beliefs, primary school memories,  secret Santa, physics work, sports kit tops, talking about in jokes, airport scanners, bruising, Rocky Horror Picture Show, boxers, blood donation, module assessments, flavoured vodka, City of Bones, cracking knuckles	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=0	185624	185625
2	S2PS	was n't born until like seventies but mm she did n't sort of take it if I if I 'd	been sat	there and said it to her mm mm yeah it would 've come across differently yeah er I sent her	was_VBDZ n't_XX born_VVN until_CS like_II seventies_MC2 but_CCB mm_UH she_PPHS1 did_VDD n't_XX sort_RR21 of_RR22 take_VV0 it_PPH1 if_CS I_PPIS1 if_CS I_PPIS1 'd_VHD	been_VBN sat_VVN	there_RL and_CC said_VVD it_PPH1 to_II her_PPHO1 mm_UH mm_UH yeah_UH it_PPH1 would_VM 've_VHI come_VVN across_II differently_RR yeah_UH er_UH I_PPIS1 sent_VVD her_PPHO1	Librarians talking about social networking	Discussing, telling jokes	Original	Texts within Sample release	S0068 S0075 S0150	3	2012-03-23	0:20:52	A room in the University, Salford	2012 Q1	2012	Colleagues	Social networking	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=1	284804	284805
3	S2U9	their coffee you know with they 've got their own pub though so I do n't know --UNCLEARWORD and they	're sitting	there they 're in between lessons yeah and they 're getting out these phones and really ? er Ipads you	their_APPGE coffee_NN1 you_PPY know_VV0 with_IW they_PPHS2 've_VH0 got_VVN their_APPGE own_DA pub_NN1 though_RR so_RR I_PPIS1 do_VD0 n't_XX know_VVI --UNCLEARWORD_FU and_CC they_PPHS2	're_VBR sitting_VVG	there_RL they_PPHS2 're_VBR in_II21 between_II22 lessons_NN2 yeah_UH and_CC they_PPHS2 're_VBR getting_VVG out_RP these_DD2 phones_NN2 and_CC really_RR ?_YQUE er_UH Ipads_NP2 you_PPY	Post-meal chat	Discussing, explaining, inquiring, complaining, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0391 S0392 S0393 S0397 S0480 S0545	6	2015-12-29	0:18:01	ANON’s home	2015 Q4	2015	Friends, wider family circle	family history, languages, literature, theatre, art, music, places, people, reminiscing, cutlery, food and drink, religion, hair and beauty, weather, climate change, transport, technology, injury, museums, 	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=2	340197	340198
4	S2UT	two pairs rather than a four if you see what I mean mm well I did n't think I 'd	be sitting	here in this sunshine no this morning well I 'm rel- relieved it 's given me that 's those are	two_MC pairs_NN2 rather_II21 than_II22 a_AT1 four_MC if_CS you_PPY see_VV0 what_DDQ I_PPIS1 mean_VV0 mm_UH well_RR I_PPIS1 did_VDD n't_XX think_VVI I_PPIS1 'd_VM	be_VBI sitting_VVG	here_RL in_II this_DD1 sunshine_NN1 no_UH this_DD1 morning_NNT1 well_RR I_PPIS1 'm_VBM rel-_FU relieved_VVN it_PPH1 's_VHZ given_VVN me_PPIO1 that_DD1 's_VBZ those_DD2 are_VBR	Conversation over coffee	Discussing, anecdote telling	Revised	Texts not in Sample release	S0238 S0243	2	2014-09-21	1:02:27	My garden room, Bradford	2014 Q3	2014	Close family, partners, very close friends	hand-thrown mugs, milk, weather, spiders, gardening (several times), power cuts, birds, decorating, some friends of ANON, a local festival, an accident in the home	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=3	349559	349560
5	S2UT	cut down mm there 's now a space through to next door now you ca n't see it when you	're sitting	here because of that bush but if you 're further down you can or even mm when I 'm up	cut_VVN down_RP mm_UH there_EX 's_VBZ now_RT a_AT1 space_NN1 through_II to_II next_MD door_NN1 now_RT you_PPY ca_VM n't_XX see_VVI it_PPH1 when_CS you_PPY	're_VBR sitting_VVG	here_RL because_II21 of_II22 that_DD1 bush_NN1 but_CCB if_CS you_PPY 're_VBR further_JJR down_RP you_PPY can_VM or_CC even_RR mm_UH when_CS I_PPIS1 'm_VBM up_RP	Conversation over coffee	Discussing, anecdote telling	Revised	Texts not in Sample release	S0238 S0243	2	2014-09-21	1:02:27	My garden room, Bradford	2014 Q3	2014	Close family, partners, very close friends	hand-thrown mugs, milk, weather, spiders, gardening (several times), power cuts, birds, decorating, some friends of ANON, a local festival, an accident in the home	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=4	350356	350357
6	S37K	do eh at some point ? yes mm North --UNCLEARWORD in a field full of --UNCLEARWORD You 're going to	be sitting	--UNCLEARWORD ? no oh pass it you might have to supply the --UNCLEARWORD I know Motts do n't do n't	do_VD0 eh_UH at_II some_DD point_NN1 ?_YQUE yes_UH mm_UH North_ND1 --UNCLEARWORD_FU in_II a_AT1 field_NN1 full_JJ of_IO --UNCLEARWORD_FU You_PPY 're_VBR going_VVGK to_TO	be_VBI sitting_VVG	--UNCLEARWORD_FU ?_YQUE no_UH oh_UH pass_VV0 it_PPH1 you_PPY might_VM have_VHI to_TO supply_VVI the_AT --UNCLEARWORD_FU I_PPIS1 know_VV0 Motts_NP2 do_VD0 n't_XX do_VD0 n't_XX		Discussing, explaining, inquiring, complaining, anecdote telling, making arrangements, telling jokes	Original	Texts within Sample release	S0058 S0120 S0179	3	2012-03-11	1:26:37	ANON and ANON’s home, Cambridge	2012 Q1	2012	Friends, wider family circle	Holidays, TV, food	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=5	553418	553419
7	S3DA	just and if you did n't have to you found a way to pass it exactly and then when you	're sat	there bored like if your bored in work the only thing you can do that 's enjoyable is either make	just_RR and_CC if_CS you_PPY did_VDD n't_XX have_VHI to_TO you_PPY found_VVD a_AT1 way_NN1 to_TO pass_VVI it_PPH1 exactly_RR and_CC then_RT when_CS you_PPY	're_VBR sat_VVN	there_RL bored_JJ like_RR if_CS your_APPGE bored_JJ in_II work_NN1 the_AT only_JJ thing_NN1 you_PPY can_VM do_VDI that_DD1 's_VBZ enjoyable_JJ is_VBZ either_RR make_VV0	Boyfriend and girlfriend chatting about a range of topics whilst watching football	Discussing, explaining, anecdote telling	Revised	Texts within Sample release	S0253 S0254	2	2014-09-09	1:19:57	Speaker's house	2014 Q3	2014	Close family, partners, very close friends	Packing for a holiday, Clothes, Energy Bills, Eating, Muse, Football, E-Cigarettes, Plans for a weekend, Holiday Money, Taxis, A friend’s stag party, Airports, Reading, A friend visiting Germany, Plans for Christmas, The Scottish Referendum for Independence, Royal Family, Increasing cost rail travel, A friend’s cat	T06	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=6	690408	690409
8	S3LE	night every other night we put her to bed and we 'd go to bed ten minutes later --ANONnameF would	be stood	next to the bed and like night after night after night and then one of us would take her back	night_NNT1 every_AT1 other_JJ night_NNT1 we_PPIS2 put_VV0 her_PPHO1 to_II bed_NN1 and_CC we_PPIS2 'd_VM go_VVI to_II bed_NN1 ten_MC minutes_NNT2 later_RRR --ANONnameF_NP1 would_VM	be_VBI stood_VVN	next_II21 to_II22 the_AT bed_NN1 and_CC like_II night_NNT1 after_II night_NNT1 after_II night_NNT1 and_CC then_RT one_MC1 of_IO us_PPIO2 would_VM take_VVI her_PPHO1 back_RP	Farewell dinner with Reg.	Discussing, explaining, inquiring, complaining, advising, requesting, inviting, announcing, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0336 S0337 S0342 S0343	4	2015-02-06	2:46:49	Pub	2015 Q1	2015	Close family, partners, very close friends	Satnavs, google maps, family, Saudi Arabia, decorating, jobs, friends.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=7	756529	756530
9	S3LE	a lift home then yeah --UNCLEARWORD yeah yeah that 's not a problem I 'll fish out my card I	'm sitting	here now thinking did I put the money in the car or not ? did I put some I 'll	a_AT1 lift_NN1 home_RL then_RT yeah_UH --UNCLEARWORD_FU yeah_UH yeah_UH that_DD1 's_VBZ not_XX a_AT1 problem_NN1 I_PPIS1 'll_VM fish_VVI out_RP my_APPGE card_NN1 I_PPIS1	'm_VBM sitting_VVG	here_RL now_RT thinking_NN1 did_VDD I_PPIS1 put_VVI the_AT money_NN1 in_II the_AT car_NN1 or_CC not_XX ?_YQUE did_VDD I_PPIS1 put_VVI some_DD I_PPIS1 'll_VM	Farewell dinner with Reg.	Discussing, explaining, inquiring, complaining, advising, requesting, inviting, announcing, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0336 S0337 S0342 S0343	4	2015-02-06	2:46:49	Pub	2015 Q1	2015	Close family, partners, very close friends	Satnavs, google maps, family, Saudi Arabia, decorating, jobs, friends.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=8	772770	772771
10	S3U3	lecture room two mm and you went into the lecture room one yeah to sit down and the German teacher	's sitting	opposite you on the table er you sit there and then he asks goes through the questions and then you	lecture_NN1 room_NN1 two_MC mm_UH and_CC you_PPY went_VVD into_II the_AT lecture_NN1 room_NN1 one_MC1 yeah_UH to_TO sit_VVI down_RP and_CC the_AT German_JJ teacher_NN1	's_VBZ sitting_VVG	opposite_RL you_PPY on_II the_AT table_NN1 er_UH you_PPY sit_VV0 there_RL and_CC then_RT he_PPHS1 asks_VVZ goes_VVZ through_II the_AT questions_NN2 and_CC then_RT you_PPY	Grandmother’s visit	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0390 S0391 S0392 S0393	4	2015-03-27	1:00:54	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	recent week, coffee shops, education, injury solicitors, TV, weather/climate, paganism, magazines,  photography, technology, accents, politics, books, de-cluttering, boats, religion, other people, music, ceilidh, copyright, short-stories, psychology, plans for the week ahead, computers, recycling, telephones, 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=9	858393	858394
11	S3U3	sit down for the gospel ? yeah I 'm going to actually I think this time but --ANONnameM wo n't	be standing	I mean mm yeah it 's I think it 's also religiosity when people are sort of just standing there	sit_VVI down_RP for_IF the_AT gospel_NN1 ?_YQUE yeah_UH I_PPIS1 'm_VBM going_VVG to_TO actually_RR I_PPIS1 think_VV0 this_DD1 time_NNT1 but_CCB --ANONnameM_NP1 wo_VM n't_XX	be_VBI standing_VVG	I_PPIS1 mean_VV0 mm_UH yeah_UH it_PPH1 's_VBZ I_PPIS1 think_VV0 it_PPH1 's_VBZ also_RR religiosity_NN1 when_CS people_NN are_VBR sort_RR21 of_RR22 just_RR standing_VVG there_RL	Grandmother’s visit	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0390 S0391 S0392 S0393	4	2015-03-27	1:00:54	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	recent week, coffee shops, education, injury solicitors, TV, weather/climate, paganism, magazines,  photography, technology, accents, politics, books, de-cluttering, boats, religion, other people, music, ceilidh, copyright, short-stories, psychology, plans for the week ahead, computers, recycling, telephones, 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=10	864381	864382
