Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S2UT	two pairs rather than a four if you see what I mean mm well I did n't think I 'd	be sitting	here in this sunshine no this morning well I 'm rel- relieved it 's given me that 's those are	two_MC pairs_NN2 rather_II21 than_II22 a_AT1 four_MC if_CS you_PPY see_VV0 what_DDQ I_PPIS1 mean_VV0 mm_UH well_RR I_PPIS1 did_VDD n't_XX think_VVI I_PPIS1 'd_VM	be_VBI sitting_VVG	here_RL in_II this_DD1 sunshine_NN1 no_UH this_DD1 morning_NNT1 well_RR I_PPIS1 'm_VBM rel-_FU relieved_VVN it_PPH1 's_VHZ given_VVN me_PPIO1 that_DD1 's_VBZ those_DD2 are_VBR	Conversation over coffee	Discussing, anecdote telling	Revised	Texts not in Sample release	S0238 S0243	2	2014-09-21	1:02:27	My garden room, Bradford	2014 Q3	2014	Close family, partners, very close friends	hand-thrown mugs, milk, weather, spiders, gardening (several times), power cuts, birds, decorating, some friends of ANON, a local festival, an accident in the home	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oh&batch=0	349559	349560
2	S2UT	cut down mm there 's now a space through to next door now you ca n't see it when you	're sitting	here because of that bush but if you 're further down you can or even mm when I 'm up	cut_VVN down_RP mm_UH there_EX 's_VBZ now_RT a_AT1 space_NN1 through_II to_II next_MD door_NN1 now_RT you_PPY ca_VM n't_XX see_VVI it_PPH1 when_CS you_PPY	're_VBR sitting_VVG	here_RL because_II21 of_II22 that_DD1 bush_NN1 but_CCB if_CS you_PPY 're_VBR further_JJR down_RP you_PPY can_VM or_CC even_RR mm_UH when_CS I_PPIS1 'm_VBM up_RP	Conversation over coffee	Discussing, anecdote telling	Revised	Texts not in Sample release	S0238 S0243	2	2014-09-21	1:02:27	My garden room, Bradford	2014 Q3	2014	Close family, partners, very close friends	hand-thrown mugs, milk, weather, spiders, gardening (several times), power cuts, birds, decorating, some friends of ANON, a local festival, an accident in the home	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oh&batch=1	350356	350357
3	S3U3	lecture room two mm and you went into the lecture room one yeah to sit down and the German teacher	's sitting	opposite you on the table er you sit there and then he asks goes through the questions and then you	lecture_NN1 room_NN1 two_MC mm_UH and_CC you_PPY went_VVD into_II the_AT lecture_NN1 room_NN1 one_MC1 yeah_UH to_TO sit_VVI down_RP and_CC the_AT German_JJ teacher_NN1	's_VBZ sitting_VVG	opposite_RL you_PPY on_II the_AT table_NN1 er_UH you_PPY sit_VV0 there_RL and_CC then_RT he_PPHS1 asks_VVZ goes_VVZ through_II the_AT questions_NN2 and_CC then_RT you_PPY	Grandmother’s visit	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0390 S0391 S0392 S0393	4	2015-03-27	1:00:54	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	recent week, coffee shops, education, injury solicitors, TV, weather/climate, paganism, magazines,  photography, technology, accents, politics, books, de-cluttering, boats, religion, other people, music, ceilidh, copyright, short-stories, psychology, plans for the week ahead, computers, recycling, telephones, 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oh&batch=2	858393	858394
4	S3YZ	you had the day off ? I was going to and then I you changed your mine yeah well I	was sat	all day typical woman I get this I get this funny feeling my chest sometimes so I was sat at	you_PPY had_VHD the_AT day_NNT1 off_RP ?_YQUE I_PPIS1 was_VBDZ going_VVG to_II and_CC then_RT I_PPIS1 you_PPY changed_VVD your_APPGE mine_NN1 yeah_UH well_RR I_PPIS1	was_VBDZ sat_VVN	all_DB day_NNT1 typical_JJ woman_NN1 I_PPIS1 get_VV0 this_DD1 I_PPIS1 get_VV0 this_DD1 funny_JJ feeling_VVG my_APPGE chest_NN1 sometimes_RT so_CS I_PPIS1 was_VBDZ sat_VVN at_II	Friends cooking and eating dinner, chatting, watching a movie	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0041 S0046 S0086 S0169	4	2012-04-18	1:37:19	ANON’s home, Cambridge	2012 Q2	2012	Friends, wider family circle		T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oh&batch=3	884678	884679
5	S3YZ	I was sat all day typical woman I get this I get this funny feeling my chest sometimes so I	was sat	at work and when I hear people cos the gyms right next to work I hear people on the treadmill	I_PPIS1 was_VBDZ sat_VVN all_DB day_NNT1 typical_JJ woman_NN1 I_PPIS1 get_VV0 this_DD1 I_PPIS1 get_VV0 this_DD1 funny_JJ feeling_VVG my_APPGE chest_NN1 sometimes_RT so_CS I_PPIS1	was_VBDZ sat_VVN	at_II work_NN1 and_CC when_CS I_PPIS1 hear_VV0 people_NN cos_CS the_AT gyms_NN2 right_RR next_II21 to_II22 work_NN1 I_PPIS1 hear_VV0 people_NN on_II the_AT treadmill_NN1	Friends cooking and eating dinner, chatting, watching a movie	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0041 S0046 S0086 S0169	4	2012-04-18	1:37:19	ANON’s home, Cambridge	2012 Q2	2012	Friends, wider family circle		T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oh&batch=4	884697	884698
6	S3YZ	? yeah it was good but the thing is I 'm alright not eating through the day but when I	'm sat	then I want to eat more so if I have a small one of these then I wo n't feel	?_YQUE yeah_UH it_PPH1 was_VBDZ good_JJ but_CCB the_AT thing_NN1 is_VBZ I_PPIS1 'm_VBM alright_JJ not_XX eating_VVG through_II the_AT day_NNT1 but_CCB when_CS I_PPIS1	'm_VBM sat_VVN	then_RT I_PPIS1 want_VV0 to_TO eat_VVI more_RGR so_RR if_CS I_PPIS1 have_VH0 a_AT1 small_JJ one_PN1 of_IO these_DD2 then_RT I_PPIS1 wo_VM n't_XX feel_VVI	Friends cooking and eating dinner, chatting, watching a movie	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0041 S0046 S0086 S0169	4	2012-04-18	1:37:19	ANON’s home, Cambridge	2012 Q2	2012	Friends, wider family circle		T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oh&batch=5	888409	888410
7	S4QF	was eating stuff was n't he ? he ea- he he ate the candles he ate the furniture oh he	's sitting	look he ate socks and getting trained right they 've got him on a lead now he does n't like	was_VBDZ eating_VVG stuff_NN1 was_VBDZ n't_XX he_PPHS1 ?_YQUE he_PPHS1 ea-_FU he_PPHS1 he_PPHS1 ate_VVD the_AT candles_NN2 he_PPHS1 ate_VVD the_AT furniture_NN1 oh_UH he_PPHS1	's_VBZ sitting_VVG	look_VV0 he_PPHS1 ate_VVD socks_NN2 and_CC getting_VVG trained_VVN right_RR they_PPHS2 've_VH0 got_VVN him_PPHO1 on_II a_AT1 lead_NN1 now_RT he_PPHS1 does_VDZ n't_XX like_VVI	Grandparents visit	Discussing, explaining, inquiring, anecdote telling, making arrangements, telling jokes	Revised	Texts within Sample release	S0251 S0252 S0368 S0369	4	2015-02-14	1:58:42	Sitting Room, Malton	2015 Q1	2015	Close family, partners, very close friends	Household matters	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oh&batch=6	1109273	1109274
8	S5AA	'm just gon na say to them look I did n't take it on holiday with me so it 's	been sat	there 's something wrong with the speaker the home button is n't like right and there 's no way that	'm_VBM just_RR gon_VVGK na_TO say_VVI to_II them_PPHO2 look_VV0 I_PPIS1 did_VDD n't_XX take_VVI it_PPH1 on_II holiday_NN1 with_IW me_PPIO1 so_RR it_PPH1 's_VHZ	been_VBN sat_VVN	there_EX 's_VBZ something_PN1 wrong_JJ with_IW the_AT speaker_NN1 the_AT home_NN1 button_NN1 is_VBZ n't_XX like_RR right_JJ and_CC there_EX 's_VBZ no_AT way_NN1 that_CST	Friends chatting about general stuff	Discussing, explaining, inquiring, complaining	Revised	Texts within Sample release	S0202 S0208	2	2014-09-04	0:07:14	France	2014 Q3	2014	Close family, partners, very close friends	Sex, boys, uni, work, new house	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oh&batch=7	1318668	1318669
9	S5AA	I did n't end up taking it on holiday with me I 've left it at home so it 's	been sat	in a box at home the whole time I 've not even touched it I 'll just say it must	I_PPIS1 did_VDD n't_XX end_VVI up_RP taking_VVG it_PPH1 on_II holiday_NN1 with_IW me_PPIO1 I_PPIS1 've_VH0 left_VVN it_PPH1 at_II home_NN1 so_RR it_PPH1 's_VHZ	been_VBN sat_VVN	in_II a_AT1 box_NN1 at_II home_NN1 the_AT whole_JJ time_NNT1 I_PPIS1 've_VH0 not_XX even_RR touched_VVN it_PPH1 I_PPIS1 'll_VM just_RR say_VVI it_PPH1 must_VM	Friends chatting about general stuff	Discussing, explaining, inquiring, complaining	Revised	Texts within Sample release	S0202 S0208	2	2014-09-04	0:07:14	France	2014 Q3	2014	Close family, partners, very close friends	Sex, boys, uni, work, new house	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oh&batch=8	1318863	1318864
10	S69G	makeup bag out you know procrastinating instead of having to do work and I 'm washing my brushes and I	was stood	there like washing them like do these smell like weed ? and then I like I took the brushes out	makeup_NN1 bag_NN1 out_RP you_PPY know_VV0 procrastinating_VVG instead_II21 of_II22 having_VHG to_TO do_VDI work_NN1 and_CC I_PPIS1 'm_VBM washing_VVG my_APPGE brushes_NN2 and_CC I_PPIS1	was_VBDZ stood_VVN	there_RL like_II washing_VVG them_PPHO2 like_RR do_VD0 these_DD2 smell_VVI like_II weed_NN1 ?_YQUE and_CC then_RT I_PPIS1 like_VV0 I_PPIS1 took_VVD the_AT brushes_NN2 out_II21	Friends chatting about general stuff	Discussing, explaining, inquiring, complaining, advising	Revised	Texts not in Sample release	S0202 S0208 S0216	3	2014-10-04	0:06:47	Home, Leeds	2014 Q4	2014	Close family, partners, very close friends	Weed, bathroom	T04	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oh&batch=9	1740803	1740804
