Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S2ZU	it you know but you had a nice naked swim I had a nice naked swim yeah and then you	were sitting	like I got to the I got to the the beach ex- you exposed yourself and I suddenly realised I	it_PPH1 you_PPY know_VV0 but_CCB you_PPY had_VHD a_AT1 nice_JJ naked_JJ swim_NN1 I_PPIS1 had_VHD a_AT1 nice_JJ naked_JJ swim_NN1 yeah_UH and_CC then_RT you_PPY	were_VBDR sitting_VVG	like_II I_PPIS1 got_VVD to_II the_AT I_PPIS1 got_VVD to_II the_AT the_AT beach_NN1 ex-_FU you_PPY exposed_VVD yourself_PPX1 and_CC I_PPIS1 suddenly_RR realised_VVD I_PPIS1	3 friends chat to pass the time on a train from London to Margate	discussing, explaining, inquiring, announcing, anecdote telling, making arrangements	Revised	Texts within Sample release	S0326 S0327 S0445	3	2015-07-14	1:53:17	At ANON's home in North London	2015 Q3	2015	Close family, partners, very close friends	politics, house decoration, university, exams, summer plans, travel, family, Scotland, plans for the future, animals, gardens, birds	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=0	416477	416478
2	S35U	car are you alright ? where the drivers are going mm fine yeah like that all the way round I	'm sitting	directly facing the sun cos it 's not stable oh God yeah well I I do n't like to look	car_NN1 are_VBR you_PPY alright_JJ ?_YQUE where_CS the_AT drivers_NN2 are_VBR going_VVG mm_UH fine_JJ yeah_UH like_RR that_DD1 all_DB the_AT way_NN1 round_RP I_PPIS1	'm_VBM sitting_VVG	directly_RR facing_VVG the_AT sun_NN1 cos_CS it_PPH1 's_VBZ not_XX stable_JJ oh_UH God_NP1 yeah_UH well_RR I_PPIS1 I_PPIS1 do_VD0 n't_XX like_VVI to_TO look_VVI	Family chatting in the garden, eating dinner	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0038 S0083 S0084 S0086	4	2012-03-24	1:32:43	ANON’s home, Cambridge	2012 Q1	2012	Close family, partners, very close friends		T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=1	519550	519551
3	S3TD	he was just he did n't he did n't have a cup or a bowl or what have you he	was sitting	with his legs you know bunched up in front of him right and presumably you recognised him did you ?	he_PPHS1 was_VBDZ just_RR he_PPHS1 did_VDD n't_XX he_PPHS1 did_VDD n't_XX have_VHI a_AT1 cup_NN1 or_CC a_AT1 bowl_NN1 or_CC what_DDQ have_VH0 you_PPY he_PPHS1	was_VBDZ sitting_VVG	with_IW his_APPGE legs_NN2 you_PPY know_VV0 bunched_VVN up_RP in_II31 front_II32 of_II33 him_PPHO1 right_RR and_CC presumably_RR you_PPY recognised_VVD him_PPHO1 did_VDD you_PPY ?_YQUE	A discussion about whether luck exists	Discussing, explaining	Revised	Texts within Sample release	S0247 S0248	2	2014-08-16	0:12:35	At home	2014 Q3	2014	Close family, partners, very close friends	Superstitions / good luck / bad luck / sporting rituals, lucky charms, etc.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=2	850675	850676
4	S4VJ	but you f- what you forget is how far you have to walk from oh sure yeah I mean you	were stood	to get a a distance to walk to --ANONplace station yeah the museums back to back to --ANONplace station yeah	but_CCB you_PPY f-_FU what_DDQ you_PPY forget_VV0 is_VBZ how_RGQ far_RR you_PPY have_VH0 to_TO walk_VVI from_II oh_UH sure_JJ yeah_UH I_PPIS1 mean_VV0 you_PPY	were_VBDR stood_VVN	to_TO get_VVI a_AT1 a_AT1 distance_NN1 to_TO walk_VVI to_II --ANONplace_NP1 station_NN1 yeah_UH the_AT museums_NN2 back_RP to_II back_RP to_II --ANONplace_NP1 station_NN1 yeah_UH	A Sunday afternoon outing in London	Discussing, explaining, inquiring, complaining	Revised	Texts within Sample release	S0247 S0248	2	2014-08-24	0:14:55	At home	2014 Q3	2014	Close family, partners, very close friends	Museums / Imax and 3D cinema / public transport	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=3	1169124	1169125
5	S5DJ	the yeah so it was just us three and then erm erm she took us in here and then everyone	was sitting	in here and I was gon na sit in the back by myself but erm because you see what the	the_AT yeah_UH so_RR it_PPH1 was_VBDZ just_RR us_PPIO2 three_MC and_CC then_RT erm_UH erm_UH she_PPHS1 took_VVD us_PPIO2 in_II here_RL and_CC then_RT everyone_PN1	was_VBDZ sitting_VVG	in_II here_RL and_CC I_PPIS1 was_VBDZ gon_VVGK na_TO sit_VVI in_II the_AT back_NN1 by_II myself_PPX1 but_CCB erm_UH because_CS you_PPY see_VV0 what_DDQ the_AT		Disciussing, explaining, complaining, advising, inviting, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0275 S0276	2	2014-11-27	0:50:50	Kingston University classroom, Kingston Upon Thames	2014 Q4	2014	Friends, wider family circle	University, going out, food, dreams, TV shows, pregnancy, relationships with parents, future, travelling, foreign languages, studying, literature, 	T13	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=4	1338619	1338620
6	S5DJ	that she was erm she slept until eleven thirty and I was like you what ? you what ? I	was sat	by myself it was so awkward I had to sit in the middle of them two I was sitting here	that_CST she_PPHS1 was_VBDZ erm_UH she_PPHS1 slept_VVN until_II eleven_MC thirty_MC and_CC I_PPIS1 was_VBDZ like_RR you_PPY what_DDQ ?_YQUE you_PPY what_DDQ ?_YQUE I_PPIS1	was_VBDZ sat_VVN	by_II myself_PPX1 it_PPH1 was_VBDZ so_RG awkward_JJ I_PPIS1 had_VHD to_TO sit_VVI in_II the_AT middle_NN1 of_IO them_PPHO2 two_MC I_PPIS1 was_VBDZ sitting_VVG here_RL		Disciussing, explaining, complaining, advising, inviting, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0275 S0276	2	2014-11-27	0:50:50	Kingston University classroom, Kingston Upon Thames	2014 Q4	2014	Friends, wider family circle	University, going out, food, dreams, TV shows, pregnancy, relationships with parents, future, travelling, foreign languages, studying, literature, 	T13	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=5	1338702	1338703
7	S5DJ	I was sat by myself it was so awkward I had to sit in the middle of them two I	was sitting	here and and what 's her name ? --ANONnameF was sitting like right here uhu and it was all just	I_PPIS1 was_VBDZ sat_VVN by_II myself_PPX1 it_PPH1 was_VBDZ so_RG awkward_JJ I_PPIS1 had_VHD to_TO sit_VVI in_II the_AT middle_NN1 of_IO them_PPHO2 two_MC I_PPIS1	was_VBDZ sitting_VVG	here_RL and_CC and_CC what_DDQ 's_VBZ her_APPGE name_NN1 ?_YQUE --ANONnameF_NP1 was_VBDZ sitting_VVG like_II right_JJ here_RL uhu_UH and_CC it_PPH1 was_VBDZ all_DB just_RR		Disciussing, explaining, complaining, advising, inviting, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0275 S0276	2	2014-11-27	0:50:50	Kingston University classroom, Kingston Upon Thames	2014 Q4	2014	Friends, wider family circle	University, going out, food, dreams, TV shows, pregnancy, relationships with parents, future, travelling, foreign languages, studying, literature, 	T13	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=6	1338721	1338722
8	S5DJ	to sit in the middle of them two I was sitting here and and what 's her name ? --ANONnameF	was sitting	like right here uhu and it was all just talking like all nicely close and I was drinking my hot	to_TO sit_VVI in_II the_AT middle_NN1 of_IO them_PPHO2 two_MC I_PPIS1 was_VBDZ sitting_VVG here_RL and_CC and_CC what_DDQ 's_VBZ her_APPGE name_NN1 ?_YQUE --ANONnameF_NP1	was_VBDZ sitting_VVG	like_II right_JJ here_RL uhu_UH and_CC it_PPH1 was_VBDZ all_DB just_RR talking_VVG like_II all_DB nicely_RR close_JJ and_CC I_PPIS1 was_VBDZ drinking_VVG my_APPGE hot_JJ		Disciussing, explaining, complaining, advising, inviting, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0275 S0276	2	2014-11-27	0:50:50	Kingston University classroom, Kingston Upon Thames	2014 Q4	2014	Friends, wider family circle	University, going out, food, dreams, TV shows, pregnancy, relationships with parents, future, travelling, foreign languages, studying, literature, 	T13	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=7	1338732	1338733
9	S5MM	I 'm going for a fag okay well let 's let 's stop this I 'm guessing red means to	be sat	together but probably ding dong oh --UNCLEARWORD oh this is really badly done okay this is n't for me to	I_PPIS1 'm_VBM going_VVG for_IF a_AT1 fag_NN1 okay_RR well_RR let_VM21 's_VM22 let_VM21 's_VM22 stop_VVI this_DD1 I_PPIS1 'm_VBM guessing_VVG red_JJ means_NN to_TO	be_VBI sat_VVN	together_RL but_CCB probably_RR ding_FU dong_FU oh_UH --UNCLEARWORD_FU oh_UH this_DD1 is_VBZ really_RR badly_RR done_VDN okay_JJ this_DD1 is_VBZ n't_XX for_IF me_PPIO1 to_TO	Three people talking whilst two of them play Sims and the other types on the computer for a little while.	Discussing, explaining, inquiring, complaining, advising	Revised	Texts not in Sample release	S0543 S0544 S0561	3	2016-01-08	0:55:24	In ANON and ANON's house.	2016 Q1	2016	Close family, partners, very close friends	Sims, university life, university events, locations, organising events, dinner event, university friends, food and cooking.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=8	1403199	1403200
10	S5UJ	really funny compose yourself that 's what I was doing when I was reading Caitlin Moran oh yeah and I	was sitting	I was having a coffee in um I do n't know wherever I was Café Nero and I burst out	really_RR funny_JJ compose_VV0 yourself_PPX1 that_DD1 's_VBZ what_DDQ I_PPIS1 was_VBDZ doing_VDG when_CS I_PPIS1 was_VBDZ reading_VVG Caitlin_NP1 Moran_NP1 oh_UH yeah_UH and_CC I_PPIS1	was_VBDZ sitting_VVG	I_PPIS1 was_VBDZ having_VHG a_AT1 coffee_NN1 in_II um_UH I_PPIS1 do_VD0 n't_XX know_VVI wherever_RRQV I_PPIS1 was_VBDZ Café_NN1 Nero_NP1 and_CC I_PPIS1 burst_VVD out_RP	Family chatting 	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0083 S0084 S0085 S0086	4	2012-04-07	0:46:45	ANON’s house, Cambridge	2012 Q2	2012	Close family, partners, very close friends	Food, films, television	T04	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=9	1512230	1512231
11	SA7J	know what she wants --UNCLEARWORD mm --UNCLEARWORD his dad died --UNCLEARWORD house --UNCLEARWORD --UNCLEARWORD oh yeah right and so we	were sitting	there w- with him erm but it was all very they sort of knew it was --UNCLEARWORD yeah --UNCLEARWORD time	know_VVI what_DDQ she_PPHS1 wants_VVZ --UNCLEARWORD_FU mm_UH --UNCLEARWORD_FU his_APPGE dad_NN1 died_VVD --UNCLEARWORD_FU house_NN1 --UNCLEARWORD_FU --UNCLEARWORD_FU oh_UH yeah_UH right_RR and_CC so_RR we_PPIS2	were_VBDR sitting_VVG	there_RL w-_FU with_IW him_PPHO1 erm_UH but_CCB it_PPH1 was_VBDZ all_DB very_RG they_PPHS2 sort_RR21 of_RR22 knew_VVD it_PPH1 was_VBDZ --UNCLEARWORD_FU yeah_UH --UNCLEARWORD_FU time_NNT1	Family talking whilst playing a group game around Christmas time.	Discussing, explaining, inquiring, complaining, advising requesting, announcing, making arrangements, apologising, telling jokes	Revised	Texts not in Sample release	S0543 S0561 S0563 S0564 S0565 S0566 S0568 S0569 S0639 S0640 S0665 S0691	12	2015-12-28	1:15:22	In ANON’s house.	2015 Q4	2015	Close family, partners, very close friends	Games, general game questions, alcohol, people, weather, songs, dogs, places, food, day-to-day arrangements/events, history, gender, gender norms, culture, 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=10	3457433	3457434
12	SDQG	ta be somewhere at four you know that ? I know well I kept asking you to leave no you	were sitting	there doing stuff I was ready before you is it ? days what 's happening with the lights ? can	ta_AT1 be_VBI somewhere_RL at_II four_MC you_PPY know_VV0 that_DD1 ?_YQUE I_PPIS1 know_VV0 well_RR I_PPIS1 kept_VVD asking_VVG you_PPY to_TO leave_VVI no_UH you_PPY	were_VBDR sitting_VVG	there_RL doing_NN1 stuff_NN1 I_PPIS1 was_VBDZ ready_JJ before_CS you_PPY is_VBZ it_PPH1 ?_YQUE days_NNT2 what_DDQ 's_VBZ happening_VVG with_IW the_AT lights_NN2 ?_YQUE can_VM	Mother and son talking in the car while doing an errand 	discussing, explaining, inquiring, announcing, anecdote telling	Revised	Texts not in Sample release	S0326 S0329	2	2015-07-08	1:01:48	In the car driving to North London from East London	2015 Q3	2015	Close family, partners, very close friends	Cars, family, TLS, digital Vs print, traffic, road rage, work, France, presents, driving	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=11	4652286	4652287
