Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S37E	even take the pier across to the canal on the other side mm people are taking the --UNCLEARWORD so people	are sitting	over there with the picnic area yeah what 's the one it 's on the way if you go the	even_RR take_VV0 the_AT pier_NN1 across_II to_II the_AT canal_NN1 on_II the_AT other_JJ side_NN1 mm_UH people_NN are_VBR taking_VVG the_AT --UNCLEARWORD_FU so_RR people_NN	are_VBR sitting_VVG	over_RL21 there_RL22 with_IW the_AT picnic_NN1 area_NN1 yeah_UH what_DDQ 's_VBZ the_AT one_PN1 it_PPH1 's_VBZ on_II the_AT way_NN1 if_CS you_PPY go_VV0 the_AT	Family catch-up on the way to the train station 	Discussing, explaining, inquiring, complaining, advising, inviting, announcing,  anecdote telling, making arrangements	Revised	Texts within Sample release	S0439 S0440 S0481	3	2015-09-12	0:20:53	car	2015 Q3	2015	Close family, partners, very close friends	Local area, organizing plans to London, history, housing, money, pubs, holidays. 	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062og&batch=0	547388	547389
2	S59W	on lunch time duty outside this lad got upset because he got hit by the ball by the football he	was standing	behind the goals talking oh right and he got hit three times and the third time he picked the ball	on_II lunch_NN1 time_NNT1 duty_NN1 outside_II this_DD1 lad_NN1 got_VVN upset_JJ because_CS he_PPHS1 got_VVD hit_VVN by_II the_AT ball_NN1 by_II the_AT football_NN1 he_PPHS1	was_VBDZ standing_VVG	behind_II the_AT goals_NN2 talking_VVG oh_UH right_RR and_CC he_PPHS1 got_VVD hit_VVN three_MC times_NNT2 and_CC the_AT third_MD time_NNT1 he_PPHS1 picked_VVD the_AT ball_NN1	Just come round!	Discussing, Explaining, Complaining, Making arrangements	Revised	Texts not in Sample release	S0012 S0013 S0152	3	2015-05-13	0:59:11	Freelancer's home	2015 Q2	2015	Close family, partners, very close friends	Football, application form, problem children, baby birds in nest, cockerel, birthdays, 3D printing, houses, shabby workmanship, not sleeping	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062og&batch=1	1310159	1310160
3	S59W	he ? so I pulled him over he says he 's aiming at me oh and I just went you	are standing	in the goal area talking you 're standing behind the goal area people are playing football they 're going to	he_PPHS1 ?_YQUE so_RR I_PPIS1 pulled_VVD him_PPHO1 over_RP he_PPHS1 says_VVZ he_PPHS1 's_VBZ aiming_VVG at_II me_PPIO1 oh_UH and_CC I_PPIS1 just_RR went_VVD you_PPY	are_VBR standing_VVG	in_II the_AT goal_NN1 area_NN1 talking_VVG you_PPY 're_VBR standing_VVG behind_II the_AT goal_NN1 area_NN1 people_NN are_VBR playing_VVG football_NN1 they_PPHS2 're_VBR going_VVGK to_TO	Just come round!	Discussing, Explaining, Complaining, Making arrangements	Revised	Texts not in Sample release	S0012 S0013 S0152	3	2015-05-13	0:59:11	Freelancer's home	2015 Q2	2015	Close family, partners, very close friends	Football, application form, problem children, baby birds in nest, cockerel, birthdays, 3D printing, houses, shabby workmanship, not sleeping	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062og&batch=2	1310215	1310216
4	S59W	says he 's aiming at me oh and I just went you are standing in the goal area talking you	're standing	behind the goal area people are playing football they 're going to kick and it 's going to go in	says_VVZ he_PPHS1 's_VBZ aiming_VVG at_II me_PPIO1 oh_UH and_CC I_PPIS1 just_RR went_VVD you_PPY are_VBR standing_VVG in_II the_AT goal_NN1 area_NN1 talking_VVG you_PPY	're_VBR standing_VVG	behind_II the_AT goal_NN1 area_NN1 people_NN are_VBR playing_VVG football_NN1 they_PPHS2 're_VBR going_VVGK to_TO kick_VVI and_CC it_PPH1 's_VBZ going_VVGK to_TO go_VVI in_RP	Just come round!	Discussing, Explaining, Complaining, Making arrangements	Revised	Texts not in Sample release	S0012 S0013 S0152	3	2015-05-13	0:59:11	Freelancer's home	2015 Q2	2015	Close family, partners, very close friends	Football, application form, problem children, baby birds in nest, cockerel, birthdays, 3D printing, houses, shabby workmanship, not sleeping	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062og&batch=3	1310223	1310224
5	S6A5	he could hardly this this could be embarrassing and then she sat down and then I like I was I	was sitting	on a bench here if one was behind me she was sitting like here and I my feet were facing	he_PPHS1 could_VM hardly_RR this_DD1 this_DD1 could_VM be_VBI embarrassing_JJ and_CC then_RT she_PPHS1 sat_VVD down_RP and_CC then_RT I_PPIS1 like_VV0 I_PPIS1 was_VBDZ I_PPIS1	was_VBDZ sitting_VVG	on_II a_AT1 bench_NN1 here_RL if_CS one_PN1 was_VBDZ behind_II me_PPIO1 she_PPHS1 was_VBDZ sitting_VVG like_II here_RL and_CC I_PPIS1 my_APPGE feet_NN2 were_VBDR facing_VVG	talking about Liverpool over a cup of tea	Discussing, explaining	Revised	Texts within Sample release	S0012 S0013 S0152	3	2014-10-30	1:21:46	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	no info	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062og&batch=4	1753115	1753116
6	S6A5	down and then I like I was I was sitting on a bench here if one was behind me she	was sitting	like here and I my feet were facing out that way she was sit- sitting here with her back to	down_RP and_CC then_RT I_PPIS1 like_VV0 I_PPIS1 was_VBDZ I_PPIS1 was_VBDZ sitting_VVG on_II a_AT1 bench_NN1 here_RL if_CS one_PN1 was_VBDZ behind_II me_PPIO1 she_PPHS1	was_VBDZ sitting_VVG	like_II here_RL and_CC I_PPIS1 my_APPGE feet_NN2 were_VBDR facing_VVG out_RP that_DD1 way_NN1 she_PPHS1 was_VBDZ sit-_FU sitting_VVG here_RL with_IW her_PPHO1 back_RP to_II	talking about Liverpool over a cup of tea	Discussing, explaining	Revised	Texts within Sample release	S0012 S0013 S0152	3	2014-10-30	1:21:46	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	no info	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062og&batch=5	1753127	1753128
7	S6A5	and I my feet were facing out that way she was sit- sitting here with her back to me he	was sitting	there and every so often she would fall on my leg at the back oh oh she 'd be like	and_CC I_PPIS1 my_APPGE feet_NN2 were_VBDR facing_VVG out_RP that_DD1 way_NN1 she_PPHS1 was_VBDZ sit-_FU sitting_VVG here_RL with_IW her_PPHO1 back_RP to_II me_PPIO1 he_PPHS1	was_VBDZ sitting_VVG	there_RL and_CC every_RR31 so_RR32 often_RR33 she_PPHS1 would_VM fall_VVI on_II my_APPGE leg_NN1 at_II the_AT back_NN1 oh_UH oh_UH she_PPHS1 'd_VM be_VBI like_JJ	talking about Liverpool over a cup of tea	Discussing, explaining	Revised	Texts within Sample release	S0012 S0013 S0152	3	2014-10-30	1:21:46	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	no info	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062og&batch=6	1753151	1753152
8	S6A5	to this table please do n't come well she comes to the table and --UNCLEARWORD hitting the --UNCLEARWORD cos I	'm sitting	like this at the table like this --ANONnameF behind me so you got got this Irish couple up and they	to_II this_DD1 table_NN1 please_RR do_VD0 n't_XX come_VVI well_RR she_PPHS1 comes_VVZ to_II the_AT table_NN1 and_CC --UNCLEARWORD_FU hitting_VVG the_AT --UNCLEARWORD_FU cos_CS I_PPIS1	'm_VBM sitting_VVG	like_II this_DD1 at_II the_AT table_NN1 like_II this_DD1 --ANONnameF_NP1 behind_II me_PPIO1 so_CS you_PPY got_VVD got_VVD this_DD1 Irish_JJ couple_NN1 up_RP and_CC they_PPHS2	talking about Liverpool over a cup of tea	Discussing, explaining	Revised	Texts within Sample release	S0012 S0013 S0152	3	2014-10-30	1:21:46	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	no info	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062og&batch=7	1753686	1753687
9	S6A5	it but we walked in and there was tables and there was really low chairs yeah ? so when you	're sat	at so when you 're sat in the chair your head was level with the table ? was almost level	it_PPH1 but_CCB we_PPIS2 walked_VVD in_RP and_CC there_EX was_VBDZ tables_NN2 and_CC there_EX was_VBDZ really_RR low_JJ chairs_NN2 yeah_UH ?_YQUE so_RR when_CS you_PPY	're_VBR sat_VVN	at_II so_RR when_CS you_PPY 're_VBR sat_VVN in_II the_AT chair_NN1 your_APPGE head_NN1 was_VBDZ level_JJ with_IW the_AT table_NN1 ?_YQUE was_VBDZ almost_RR level_JJ	talking about Liverpool over a cup of tea	Discussing, explaining	Revised	Texts within Sample release	S0012 S0013 S0152	3	2014-10-30	1:21:46	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	no info	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062og&batch=8	1754868	1754869
10	S6A5	there was tables and there was really low chairs yeah ? so when you 're sat at so when you	're sat	in the chair your head was level with the table ? was almost level with the table well and I	there_EX was_VBDZ tables_NN2 and_CC there_EX was_VBDZ really_RR low_JJ chairs_NN2 yeah_UH ?_YQUE so_RR when_CS you_PPY 're_VBR sat_VVN at_II so_RR when_CS you_PPY	're_VBR sat_VVN	in_II the_AT chair_NN1 your_APPGE head_NN1 was_VBDZ level_JJ with_IW the_AT table_NN1 ?_YQUE was_VBDZ almost_RR level_JJ with_IW the_AT table_NN1 well_RR and_CC I_PPIS1	talking about Liverpool over a cup of tea	Discussing, explaining	Revised	Texts within Sample release	S0012 S0013 S0152	3	2014-10-30	1:21:46	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	no info	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062og&batch=9	1754874	1754875
